"FAC.","FACILITY NAME","ACTIVITY TYPE","ACTIVITY DATE","S or U","STAFF INITIALS","NOTES","SERVIC_KEY","FAC KEY","FACILITY TYPE","DAYCARE RED VIOLATIONS","REINSPECTION DUE","s_GUID","s_ColLineage","s_Generation","s_Lineage"
"27-5929","HEBERLE MIGRANT CAMP #4","3RD REINSPECTION",2001-10-22 0:00:00,"U","RP","NO GARBAGE CANS, SMOKE DET BROKEN, CHECK OUT HOT WATER HEATER",190,,,,,"{0305E682-3077-4631-A08F-55F48308CE6A}",,219,
"27-6547","SODOMA FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2001-10-23 0:00:00,"S","RP","NO PHONE",191,,"MIGRANT HOUSING",,,"{5A047383-A7F1-459A-9056-D06EC037252A}",,219,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","PARTIAL INSPECTION",2001-10-24 0:00:00,"S","RP","OK",192,,"MIGRANT HOUSING",,,"{283DBEC4-00E3-41FC-82E5-43791556574D}",,219,
"27-4973","BURCH MIGRANT LABOR CAMP","PARTIAL INSPECTION",2001-10-25 0:00:00,"S","RP",,193,,"MIGRANT HOUSING",,,"{E46D35E4-F761-49F2-A047-D5FB83E6AF23}",,219,
"27-5343","HEBERLE MIGRANT CAMP #3","PARTIAL INSPECTION",2001-10-26 0:00:00,"S","RP",,194,,"MIGRANT HOUSING",,,"{1390C159-A393-4FDB-9E46-9A933E24917A}",,219,
"27-4934","BAASE BROS. MIGRANT LABOR CAMP","PARTIAL INSPECTION",2001-10-22 0:00:00,,"RP","LESS THAN 5 OCCUPANTS",195,,,,,"{EFECBE7D-664B-4B49-8D44-CB4041301590}",,219,
"27-0734","BLACK CREEK MOBILE HOME PARK","ANNUAL INSPECTION",2001-11-01 0:00:00,"S","RP","OK",196,,"MOBILE HOME PARK",,,"{4E182BF0-0CCB-4286-9BEB-57924847209E}",,219,
"27-0227","SUNSET VALLEY MANUFACTURED HOME COMM.","ANNUAL INSPECTION",2001-11-02 0:00:00,"S","RP","OK",197,,"MOBILE HOME PARK",,,"{274DEA8B-258F-4A0E-9F8B-4A4B3B409A0A}",,219,
"27-5127","HOLIDAY INN - ROCHESTER SOUTH","PARTIAL INSPECTION",2001-11-01 0:00:00,"S","RP",,198,,"HOTEL",,,"{BA38F39D-CF8B-4543-844F-FF346608677B}",,219,
"27-0746","HOLIDAY INN AIRPORT","PARTIAL INSPECTION",2001-11-20 0:00:00,"U","RP","STORAGE TOO CLOSE TO HEAT PRODUCING EQUIP.  EM POWER GENERATOR NEEDS REPAIR.",199,,"HOTEL",,,"{C6CF67F6-6FED-463F-B867-C269EBD1BF85}",,219,
"27-0405","PARMA PLACE","ANNUAL INSPECTION",2001-11-26 0:00:00,"U","PR","COOKING IN UNIT #1. ELECTRICAL INSP. NEEDED.",200,,"MOTEL",,,"{6DB6ED43-D44F-4A60-AD1B-BC2CD4339DE6}",,219,
"27-7071a","TOWN OF CHILI - TEEN CAMP","PRE-OP INSPECTION",2013-06-18 0:00:00,"S","PR",,8059,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{307256E6-8B92-4569-8663-43BF4C87F182}",,219,
"27-7071b","TOWN OF CHILI - NATURE CAMP","PRE-OP INSPECTION",2013-06-18 0:00:00,"S","PR",,8060,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{95ED609D-9C18-43C6-B33C-191CBADCAE8A}",,219,
"27-7145","MUSCULAR DYSTROPHY@ROCHESTER ROTARY","PRE-OP INSPECTION",2013-06-18 0:00:00,"S","PR",,8061,,"CHILDREN'S PHYSICALLY HANDICAPPED OVERNIGHT CAMP",0,,"{D0E1F8EC-8263-424C-9862-65D10DF4E1FA}",,219,
"27-7032a","TOWN OF PERINTON RECREATION CAMP-NORTHSIDE SCHOOL","PRE-OP INSPECTION",2013-06-18 0:00:00,"S","PR",,8062,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{A9E2F349-E8C2-4916-A955-3FB552CA2560}",,219,
"27-7032d","TOWN OF PERINTON RECREATION CAMP-POTTER","PRE-OP INSPECTION",2013-06-18 0:00:00,"S","PR",,8063,,"CHILDREN'S MUNICIPAL DAY CAMP",0,,"{55338272-E818-4A46-9F0E-F890E2798809}",,219,
"27-6218","COUNTRY INN & SUITES","PARTIAL INSPECTION",2003-09-11 0:00:00,"S","RP","OK",2206,,"HOTEL",,,"{0FC85C8A-78C3-4652-9BCC-0E4095E4C149}",,226,
"27-6218","COUNTRY INN & SUITES","PARTIAL INSPECTION",2003-09-03 0:00:00,"U","RP","FIX FIRE DOORS",2207,,"HOTEL",,,"{0DC81750-2661-4B78-9C24-B317A8A58E5C}",,226,
"27-0672","GATES MOTEL","ANNUAL INSPECTION",2003-09-16 0:00:00,"S","PR","OK",2208,,"MOTEL",,,"{CADB7E09-2728-4B39-8602-2CBE80ECD698}",,226,
"27-5127","HOLIDAY INN - ROCHESTER SOUTH","ANNUAL INSPECTION",2003-09-22 0:00:00,"U","RP","FLOOD LITES, EXIT SIGNS, SWITCH COVER",2209,,"HOTEL",,,"{2BCA61F4-66AD-4F99-8347-15D868ED12E4}",,226,
"27-6170","COMFORT SUITES","ANNUAL INSPECTION",2003-09-11 0:00:00,"S","RP","OK",2210,,"HOTEL",,,"{12D42662-6F0D-47A7-9ACC-602DCC9C415D}",,226,
"27-0254","WESTBROOK MOTEL","ANNUAL INSPECTION",2003-09-12 0:00:00,"S","PR","OK",2211,,"MOTEL",,,"{FEA26EFA-285E-4034-9489-CBD666BD9947}",,226,
"27-0049","LOCUST GROVE MOBILE HOME PARK","ANNUAL INSPECTION",2003-09-16 0:00:00,"S","RP","OK",2212,,"MOBILE HOME PARK",,,"{406814E2-0F21-48A3-A02B-D1CA76068DE9}",,226,
"27-0088","ZAMIARA'S MOBILE HOME PARK","ANNUAL INSPECTION",2003-09-09 0:00:00,"S","RP","OK",2213,,"MOBILE HOME PARK",,,"{572EAC66-BAAA-44D2-8D8E-55A5845F54BF}",,226,
"27-0076","SEPTEMBER PLACE MOBILE HOME PARK","ANNUAL INSPECTION",2003-09-09 0:00:00,"S","RP","OK",2214,,"MOBILE HOME PARK",,,"{FE3991DC-B792-459F-A446-5F60D15028BB}",,226,
"27-0811","EAST AVE MOBILE HOME PARK","ANNUAL INSPECTION",2003-10-16 0:00:00,"S","RP","OK",2215,,"MOBILE HOME PARK",,,"{077938C7-CB88-4150-B1EA-4778127236C6}",,226,
"27-0850","NICHOLS MOBILE HOME PARK","ANNUAL INSPECTION",2003-10-06 0:00:00,"S","RP","OK",2216,,"MOBILE HOME PARK",,,"{C2B0F571-3791-42CA-9293-AF98E19ADE07}",,226,
"27-0583","MONROE COUNTY FAIR & REC. ASSOC.","ANNUAL INSPECTION",2003-10-22 0:00:00,"U","RP","REPAIR ELECT. BOXES",2217,,"CAMPSITE",,,"{F39097A2-0086-45AD-984A-7DD32934B03D}",,226,
"27-5127","HOLIDAY INN - ROCHESTER SOUTH","PARTIAL INSPECTION",2003-10-03 0:00:00,"S","RP","OK",2218,,"HOTEL",,,"{D5DD82FB-7A2B-46E0-B142-597179E8D04D}",,226,
"27-0746","HOLIDAY INN AIRPORT","ANNUAL INSPECTION",2003-10-20 0:00:00,"U","RP","CLEAR ELECT. PANEL ACCESS, FIRE EXT. IN LAUNDRY, RUSTED SPA & WATER HEATER VENT STACK, EM LITE BATTERY IN BAR WEAK.",2219,,"HOTEL",,,"{D32949D0-143D-40D8-BF81-1DE6DD4ADA49}",,226,
"27-5964","EXTENDED STAY AMERICA #503","ANNUAL INSPECTION",2003-10-07 0:00:00,"S","RP","OK",2220,,"HOTEL",,,"{B016CBAE-744E-4EF2-88E3-9B9B94100638}",,226,
"27-5976","WEBSTER FAIRFIELD INN","ANNUAL INSPECTION",2003-10-09 0:00:00,"S","RP","OK",2221,,"HOTEL",,,"{5BADDC1D-E7CA-4A23-8101-D44BB73BEE80}",,226,
"27-5952","EXTENDED STAY AMERICA #765","ANNUAL INSPECTION",2003-10-10 0:00:00,"S","RP","OK",2222,,"HOTEL",,,"{56CBFDCD-86A0-49F6-AEA0-4A79E413F20B}",,226,
"27-0773","TOWPATH MOTEL","ANNUAL INSPECTION",2003-10-06 0:00:00,"U","PR","SECURE SMOKE DET IN RM 67 &71, INSPECT FIRE EXT. & HEATING UNITS",2223,,"MOTEL",,,"{4E1BEAC7-415B-4BE6-A278-EF0BFE31CF1D}",,226,
"27-0773","TOWPATH MOTEL","PARTIAL INSPECTION",2003-10-16 0:00:00,"S","PR","OK",2224,,"MOTEL",,,"{A73989BD-6FA2-4E4D-B499-05368D171641}",,226,
"27-6574","BRIGHTLY FARMS FARMWORKER HOUSING","PARTIAL INSPECTION",2003-10-08 0:00:00,"U","RP","REPAIR SMOKE DET. IN LIVING ROOM",2225,,"MIGRANT HOUSING",,,"{4570ECE8-9889-4C71-A209-E23031B8B5A7}",,226,
"27-4973","BURCH MIGRANT LABOR CAMP","PARTIAL INSPECTION",2003-10-14 0:00:00,"U","RP","REPLACE LIGHT BULB IN LAUNDRY ROOM",2226,,"MIGRANT HOUSING",,,"{E90480F8-03AC-455F-9685-33D2D2534AED}",,226,
"27-5192","MARTIN FARMS MIGRANT LABOR CAMP","PARTIAL INSPECTION",2003-10-15 0:00:00,"U","RP","CHECK HEAT IN BLDG. 3",2227,,"MIGRANT HOUSING",,,"{57E2ECDE-71C1-4D0F-A9E2-0C4FED534BA2}",,226,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","PARTIAL INSPECTION",2003-10-16 0:00:00,"U","RP","REPAIR LIGHT FIXTURE  WATER LEAK IN LAUNDRY AREA.",2228,,"MIGRANT HOUSING",,,"{2D83749C-8C31-42D4-AA7C-C32744E9F2CA}",,226,
"27-6535","RM ZINGLER, MIGRANT LABOR CAMP","PARTIAL INSPECTION",2003-10-21 0:00:00,"S","RP","CLOSED",2229,,,,,"{90D9085C-2C31-4579-9528-9F533BEC6CA7}",,226,
"27-5343","HEBERLE MIGRANT CAMP #3","PARTIAL INSPECTION",2003-10-08 0:00:00,"U","RP","CLEAR STAIRWELL, NO HEAT",2230,,"MIGRANT HOUSING",,,"{29A264FC-8DC3-4536-B255-45C4BBB1BB90}",,226,
"27-5343","HEBERLE MIGRANT CAMP #3","PARTIAL INSPECTION",2003-10-23 0:00:00,"S","RP","OK",2231,,"MIGRANT HOUSING",,,"{D59B5342-4FA9-41F4-B407-20871AD05F86}",,226,
"27-0114","EMPIRE MOTEL","PARTIAL INSPECTION",2004-03-29 0:00:00,"S","PR","OK",2317,,"MOTEL",,,"{899ACE09-7AE3-4E05-93AF-F68752F18BE5}",,226,
"27-0114","EMPIRE MOTEL","PARTIAL INSPECTION",2004-03-04 0:00:00,"U","PR",,2318,,"MOTEL",,,"{89505E1E-B1A5-4352-B820-5CB9E2164000}",,226,
"27-1282","WELLESLEY INN - GREECE","PARTIAL INSPECTION",2004-03-19 0:00:00,"U","RP","EM LITES",2319,,"HOTEL",,,"{0CD3F19C-6135-4FB5-B4F8-66402ECA2B51}",,226,
"27-3274","BROCKPORT ECONOLODGE","ANNUAL INSPECTION",2004-03-05 0:00:00,"U","PR","EXIT SIGNS, FIRE EXT.",2320,,"MOTEL",,,"{9B58D6E5-DCE8-49BA-A5E9-073D34AB40D4}",,226,
"27-3274","BROCKPORT ECONOLODGE","PARTIAL INSPECTION",2004-03-30 0:00:00,"S","PR","OK",2321,,"MOTEL",,,"{D8B9262C-DB3C-43E9-AD0E-264581C4EA4A}",,226,
"27-5432","GENESEE COUNTRY INN","ANNUAL INSPECTION",2004-03-23 0:00:00,"S","RP","OK",2322,,"HOTEL",,,"{DAE208B5-D0AA-4258-B311-621096C72100}",,226,
"27-5406","MOTEL 6 - #1221","ANNUAL INSPECTION",2004-03-08 0:00:00,"U","RP","FIRE DOORS, EXIT SIGNS, SPRK. SYS. TEST",2323,,"MOTEL",,,"{A0310697-C79F-4F3B-8BBE-48ED1339BFEA}",,226,
"27-5406","MOTEL 6 - #1221","PARTIAL INSPECTION",2004-03-23 0:00:00,"U","RP","SAME",2324,,"MOTEL",,,"{2730C6CB-1B57-4B9E-8880-EEF73BEB6D46}",,226,
"27-5406","MOTEL 6 - #1221","PARTIAL INSPECTION",2004-03-30 0:00:00,"S","RP","OK",2325,,"MOTEL",,,"{A928E82C-2C11-4F7C-BA21-6F2D018ADB95}",,226,
"27-0708","BROCKPORT INN","ANNUAL INSPECTION",2004-03-12 0:00:00,"U","PR","HOT WATER TANK RELIEF VALVE",2326,,"MOTEL",,,"{30FEFE72-220D-4280-AF9B-E893EDEACCE6}",,226,
"27-0708","BROCKPORT INN","PARTIAL INSPECTION",2004-03-18 0:00:00,"S","PR","OK",2327,,"MOTEL",,,"{305674BA-4779-40F8-BD43-D9F4BFDE1A66}",,226,
"27-0785","DEL MONTE LODGE","ANNUAL INSPECTION",2004-03-16 0:00:00,"U","RP","FIRE DOORS",2328,,"HOTEL",,,"{E30896F1-A330-4F23-ADD9-7DD5EC04BE9E}",,226,
"27-0785","DEL MONTE LODGE","PARTIAL INSPECTION",2004-03-26 0:00:00,"S","RP","OK",2329,,"HOTEL",,,"{930F631E-2B5F-4281-8F24-CEBBA2E20781}",,226,
"27-5343","HEBERLE MIGRANT CAMP #3","PARTIAL INSPECTION",2005-06-22 0:00:00,"U","RP",,2901,,"MIGRANT HOUSING",,,"{82ED1F94-EBB0-4714-9C4D-FE0F32DB59E9}",,230,
"27-0165","BUDGET INN","ANNUAL INSPECTION",2005-06-13 0:00:00,"U","PR",,2902,,"MOTEL",,,"{8BDE484C-B30D-44F5-A51A-E5626235EC4F}",,230,
"27-5899","THE WEBSTER LODGE - SUPER 8 MOTEL","PARTIAL INSPECTION",2005-06-21 0:00:00,"S","RP",,2903,,"MOTEL",,,"{21CCFC95-92DE-497F-B503-0CC96479E5CC}",,230,
"27-5305","LODGE AT WOODCLIFF","PARTIAL INSPECTION",2005-06-23 0:00:00,"S","RP",,2904,,"HOTEL",,,"{67DD017A-9F67-42C2-8744-24A1C859F66F}",,230,
"27-1294","SUPER 8 MOTEL","ANNUAL INSPECTION",2005-06-09 0:00:00,"U","RP",,2905,,"MOTEL",,,"{08547045-7317-48B1-8013-57489AD2F756}",,230,
"27DCC39","CRAYON CAMPUS","ANNUAL INSPECTION",2005-06-01 0:00:00,"S","PR",,2906,,"DAY CARE CENTER",,,"{04EB1C8E-0DA1-418F-8902-0D0D04705A76}",,230,
"27DCC2","ALPHABET CAMPUS/GATES","1ST REINSPECTION",2005-06-02 0:00:00,"S","RP",,2909,,"DAY CARE CENTER",,,"{147C96DA-11CA-40CB-9DDB-20C0A92A5EEE}",,230,
"27DCC217","PEA PODS CHILD CARE","1st REINSPECTION",2014-10-23 0:00:00,"S","ES",,1414075027,,"DAY CARE CENTER",0,,"{F35DDB5A-A736-4D16-9657-D105A1A1CA60}",,378,
"27DCC144","STORYBOOK #1/TOBEY ROAD","2ND ANNUAL INSPECTION",2014-10-23 0:00:00,"S","ES",,2101892568,,"DAY CARE CENTER",0,,"{B0B475EA-AB60-4C5F-92C8-F462515D2145}",,378,
"27DCC221","PEA PODS II CHILD CARE CENTER","2ND ANNUAL INSPECTION",2014-10-23 0:00:00,"S","ES",,1087842041,,"DAY CARE CENTER",0,,"{9003BDD6-25B0-48A4-8B03-2531D59F3A4A}",,378,
"27-5457","BRIGHTON COURTYARD BY MARRIOTT","2ND REINSPECTION",2014-10-23 0:00:00,"A","PR",,1414152573,,"HOTEL/MOTEL",0,,"{25E26C11-CADC-4E77-97CB-EAF09385431B}",,379,
"27DCC146","STORYBOOK/PINNACLE RD.","2ND ANNUAL INSPECTION",2014-10-23 0:00:00,"U","PR",,1414073153,,"DAY CARE CENTER",1,,"{C22CBC06-1534-4BB5-B6F7-5D1A5BFA6AE2}",,380,
"27DCC156","TWELVE CORNERS DAY CARE CENTER","2ND ANNUAL INSPECTION",2014-10-23 0:00:00,"S","PR",,1414077108,,"DAY CARE CENTER",0,,"{54965459-1505-46D4-84C3-B88E74472631}",,380,
"27DCC299","GRANT AT PLAY","PRE-OP INSPECTION",2014-10-24 0:00:00,"S","PR",,1414161581,,"DAY CARE CENTER",0,,"{21F45879-74D1-4333-B765-2A0C516CEA9A}",,380,
"27-6067","WAYSIDE GARDENS FARMWORKER HOUSING","OPERATIONAL INSPECTION",2014-10-24 0:00:00,"U","PR",,1414413218,,"MIGRANT HOUSING",0,,"{1FE25F5A-0E22-49E8-960B-8DADB753F900}",,381,
"27-8402","DORKAT MOTEL","FIELD VISIT",2014-10-24 0:00:00,"U","PR","Structural, gas, and electrical issues.  Owner voluntarily moved tenants as per our request.PR",1507067771,,"HOTEL/MOTEL",0,,"{87C7BD6A-A18F-46FF-8A04-FCF6FC7F8434}",,381,
"27-8402","DORKAT MOTEL","FIELD VISIT",2014-10-24 0:00:00,,"PR","No occupancy noted at the time of inspection.PR",12440224,,"HOTEL/MOTEL",0,,"{03B01E98-3E28-4186-9774-CED3537DEED1}",,381,
"27-5899","THE WEBSTER LODGE - SUPER 8 MOTEL","1ST REINSPECTION",2014-10-27 0:00:00,"S","PR",,1414432144,,"HOTEL/MOTEL",0,,"{F252E61F-3A01-47C4-9811-6A5A0B65B700}",,381,
"27DCC22","CHILD TIME/DORSEY","2ND ANNUAL INSPECTION",2014-10-27 0:00:00,"S","PR",,1414418874,,"DAY CARE CENTER",0,,"{073F6C85-03C8-4250-ACA0-F1F0801C230E}",,382,
"27-0165","BUDGET INN","PARTIAL INSPECTION",2006-06-12 0:00:00,,"PR","OUT OF BUSINESS",3505,,"HOTEL/MOTEL",,,"{B735CFDB-0A4A-46A9-83B6-FC0D64BD0C95}",,233,
"27-5305","LODGE AT WOODCLIFF","PARTIAL INSPECTION",2006-06-23 0:00:00,"S","PR",,3506,,"HOTEL/MOTEL",,,"{39052283-331C-4467-9B48-1DF88B407691}",,233,
"27-1294","SUPER 8 MOTEL","PARTIAL INSPECTION",2006-06-27 0:00:00,"S","PR",,3507,,"HOTEL/MOTEL",,,"{B628404C-B40C-4129-B467-91FF3611EA9C}",,233,
"27-5406","MOTEL 6 - #1221","PARTIAL INSPECTION",2006-06-21 0:00:00,"S","PR",,3508,,"HOTEL/MOTEL",,,"{C7321BC1-359A-4210-877F-926778329610}",,233,
"27-6675","EMPIRE GIRL'S STATE","OPERATIONAL INSPECTION",2006-06-26 0:00:00,"S","PR",,3509,,"CHILDREN'S CAMP",,,"{9F25EE0F-2852-410D-A8C7-5655232C588C}",,233,
"27-5798","SETON SUMMER FUN DAYS CAMP","OPERATIONAL INSPECTION",2006-06-27 0:00:00,"S","SV",,3510,,"CHILDREN'S CAMP",,,"{C5D11703-1611-4842-8144-840F0E8C2503}",,233,
"27-6752","USA HOCKEY CAMP","OPERATIONAL INSPECTION",2006-06-27 0:00:00,"S","SV",,3511,,"CHILDREN'S CAMP",,,"{FBCA4FBC-E2F6-4375-815A-04C5A67D2A64}",,233,
"27-5331","JACK SPATES WRESTLING CAMP","OPERATIONAL INSPECTION",2006-06-27 0:00:00,"S","PR",,3512,,"CHILDREN'S CAMP",,,"{D783CA93-EE7A-4B09-A5EA-C744BFFFDD5D}",,233,
"27DCC52","GENERATIONS","ANNUAL INSPECTION",2006-03-16 0:00:00,"U","PR",,3342,,"DAY CARE CENTER",,,"{A3677EB3-19B5-4B87-B5C0-1D0AFF12F68D}",,233,
"27DCC13","BETHESDA CHILD DEVELOPMENT CENTER","ANNUAL INSPECTION",2006-03-31 0:00:00,"S","SV",,3343,,"DAY CARE CENTER",,,"{260665B5-9AE7-4FA2-BFCE-717744982861}",,233,
"27DCC2","ALPHABET CAMPUS/GATES","ANNUAL INSPECTION",2006-03-31 0:00:00,"U","SV",,3344,,"DAY CARE CENTER",,,"{9BC0B224-F245-446D-9FA7-53C8292A87D9}",,233,
"27DCC52","GENERATIONS","PARTIAL INSPECTION",2006-03-31 0:00:00,"S","PR",,3345,,"DAY CARE CENTER",,,"{3CF2AF28-6A17-4020-AE0C-B8E4EC1E1B46}",,233,
"27-5242","RESIDENCE INN","ANNUAL INSPECTION",2006-04-04 0:00:00,"S","PR","NEW 64 ROOM BLDG. TO BE ADDED TO PERMIT UPON FINAL INSPECTION & APPROVAL  TOTAL OF 152 UNITS.",3346,,"HOTEL/MOTEL",,,"{7946C64E-9EAB-463E-AE19-9B276AB90101}",,233,
"27-0239","BUDGET INN - FAIRPORT","ANNUAL INSPECTION",2006-04-11 0:00:00,"S","PR",,3347,,"HOTEL/MOTEL",,,"{3F9FC1A4-27EF-45A6-A9DB-894B42EF13DC}",,233,
"27-5836","HAMPTON INN - ROCHESTER NORTH","ANNUAL INSPECTION",2006-04-13 0:00:00,"U","PR",,3348,,"HOTEL/MOTEL",,,"{1077147F-DE47-44C4-8A1C-3CA0EE279AA8}",,233,
"27-5836","HAMPTON INN - ROCHESTER NORTH","PARTIAL INSPECTION",2006-04-20 0:00:00,"S","PR",,3349,,"HOTEL/MOTEL",,,"{7484E190-03FE-452B-8222-71AF939E59BD}",,233,
"27-6321","COMFORT INN WEST","ANNUAL INSPECTION",2006-04-05 0:00:00,"U","PR",,3350,,"HOTEL/MOTEL",,,"{3624BC99-6349-4EF8-AB98-DA5B79CCFCCD}",,233,
"27-6321","COMFORT INN WEST","PARTIAL INSPECTION",2006-04-19 0:00:00,"S","PR",,3351,,"HOTEL/MOTEL",,,"{B91D277A-4548-4C20-8C9E-C92F2162ADC3}",,233,
"27-5180","HAMPTON INN - ROCHESTER SOUTH","ANNUAL INSPECTION",2006-04-28 0:00:00,"U","PR",,3352,,"HOTEL/MOTEL",,,"{E720EBFE-4E75-4851-AA1D-51CE5CEDD80D}",,233,
"27-0138","FRIENDLY MOTEL","ANNUAL INSPECTION",2006-04-03 0:00:00,"U","PR",,3353,,"HOTEL/MOTEL",,,"{415CE78C-682C-4263-85EA-D39CEF14F342}",,233,
"27-0138","FRIENDLY MOTEL","PARTIAL INSPECTION",2006-04-26 0:00:00,"S","PR",,3354,,"HOTEL/MOTEL",,,"{003F0F4B-5B68-4F9D-B8FD-D820F3DC179C}",,233,
"27-4959","BRESLAWSKI MIGRANT LABOR CAMP","PRE-OP INSPECTION",2006-09-13 0:00:00,"S","PR",,3671,,"MIGRANT HOUSING",,,"{7EF59C3C-2426-44F6-95AE-7030EBB50BA8}",,237,
"27-0049","LOCUST GROVE MOBILE HOME PARK","ANNUAL INSPECTION",2006-09-22 0:00:00,"U","PR",,3672,,"MOBILE HOME PARK",,,"{1D499F0F-DF8B-4092-828A-BE03012DDC75}",,237,
"27-0013","SON-DAR MOBILE HOME PARK","PARTIAL INSPECTION",2006-09-07 0:00:00,"U","PR",,3673,,"MOBILE HOME PARK",,,"{0938DBFF-65D6-4E21-B05B-20DF1E92F9F5}",,237,
"27-0013","SON-DAR MOBILE HOME PARK","PARTIAL INSPECTION",2006-09-26 0:00:00,"U","PR",,3674,,"MOBILE HOME PARK",,,"{7AE862F2-090E-401C-891D-4DECFE30DD99}",,237,
"27-0746","HOLIDAY INN AIRPORT","PARTIAL INSPECTION",2006-12-12 0:00:00,"S","SV",,3812,,"HOTEL/MOTEL",,,"{F58ECADA-1D11-4BAB-BB49-05D2D04948EA}",,237,
"27-5457","BRIGHTON COURTYARD BY MARRIOTT","PARTIAL INSPECTION",2006-12-21 0:00:00,"S","SV",,3813,,"HOTEL/MOTEL",,,"{43C82087-1B5D-429A-B045-7902CFA726EA}",,237,
"27-0645","RADISSON HOTEL ROCHESTER AIRPORT","PARTIAL INSPECTION",2006-12-21 0:00:00,"U","SV",,3814,,"HOTEL/MOTEL",,,"{7BD434A4-8EA5-471F-B173-A3ED6173DED3}",,237,
"27-0003EX","MONROE COUNTY CHILDREN'S CENTER","ANNUAL INSPECTION",2006-12-27 0:00:00,"S","PR",,3815,,"INSTITUTION",,,"{17BCABB4-EC45-449C-AF0A-C53AFA7F5BE0}",,237,
"27-0002EX","MONROE COUNTY JAIL","ANNUAL INSPECTION",2006-12-28 0:00:00,"S","PR",,3816,,"INSTITUTION",,,"{C00A7627-E9E9-4092-95DF-91022ED1446D}",,237,
"27-0001EX","MONROE CORRECTIONAL FACILITY","ANNUAL INSPECTION",2006-12-29 0:00:00,"S","PR",,3817,,"INSTITUTION",,,"{E5C1EC2D-B79E-439D-A579-F99EDFEB66CA}",,237,
"27-0862","GATES MOBILE HOME PARK","ANNUAL INSPECTION",2006-12-29 0:00:00,"S","SV",,3818,,"MOBILE HOME PARK",,,"{90F5B2AC-2D59-4F00-9C17-7EF901022940}",,237,
"27-0898","PENFIELD TRAILER COURT","ANNUAL INSPECTION",2006-12-29 0:00:00,"U","SV",,3819,,"MOBILE HOME PARK",,,"{106EFAAD-5A31-4A39-A34D-5D2B33DC9ED1}",,237,
"27-0114","EMPIRE MOTEL","ANNUAL INSPECTION",2007-01-04 0:00:00,"U","SV",,3820,,"HOTEL/MOTEL",,,"{7BB11472-2FB2-4AEE-87DA-D6D3073A6714}",,237,
"27-0114","EMPIRE MOTEL","PARTIAL INSPECTION",2007-01-25 0:00:00,"S","SV",,3821,,"HOTEL/MOTEL",,,"{17A1F43C-9608-4D8B-80B6-9D045BEC1EFA}",,237,
"27-5848","HENRIETTA FAIRFIELD INN","ANNUAL INSPECTION",2007-01-18 0:00:00,"S","SV",,3822,,"HOTEL/MOTEL",,,"{5C0BC7B1-61E7-4E6C-BDD3-B7AAA1A52AE3}",,237,
"27-0153","HI-WAY REST MOTEL","ANNUAL INSPECTION",2007-01-05 0:00:00,"U","SV",,3823,,"HOTEL/MOTEL",,,"{FC62B4A7-3080-437D-BE3B-161F9CE291F5}",,237,
"27-0153","HI-WAY REST MOTEL","PARTIAL INSPECTION",2007-01-09 0:00:00,"S","SV",,3824,,"HOTEL/MOTEL",,,"{E5FD20CB-583D-4111-8C36-7F8064A88AD1}",,237,
"27-3072","QUALITY INN ROCHESTER AIRPORT","ANNUAL INSPECTION",2007-01-10 0:00:00,"U","SV",,3825,,"HOTEL/MOTEL",,,"{66062207-72AB-4305-BC38-09A5CC0598D5}",,237,
"27-3072","QUALITY INN ROCHESTER AIRPORT","PARTIAL INSPECTION",2007-01-24 0:00:00,"S","SV",,3826,,"HOTEL/MOTEL",,,"{CDB3127E-F8FC-4F38-A439-3E552F95542D}",,237,
"27-1282","HOLIDAY INN EXPRESS - GREECE","ANNUAL INSPECTION",2007-01-03 0:00:00,"S","SV",,3827,,"HOTEL/MOTEL",,,"{5826F4BA-FD21-4D80-8F64-287786209780}",,237,
"27-0900","COMFORT INN-GATES","ANNUAL INSPECTION",2007-01-08 0:00:00,"U","SV",,3828,,"HOTEL/MOTEL",,,"{39517487-9651-4F6D-A4F5-F01C1E6606CB}",,237,
"27DCC1","ALPHABET CAMPUS - PHILLIPS","PARTIAL INSPECTION",2008-04-30 0:00:00,"S","SV",,4460,,"DAY CARE CENTER",,,"{D69E5C5A-3EAC-4C2F-89FD-0FE3622C391C}",,241,
"27DCC106","OREGON LEOPOLD","ANNUAL INSPECTION",2008-04-30 0:00:00,"U","SV",,4461,,"DAY CARE CENTER",,,"{13A4DCE9-4BD0-4EE6-B527-BF5F938F6E79}",,241,
"27DCC183","TOTS U CHILD CARE CAMPUS","ANNUAL INSPECTION",2008-04-28 0:00:00,"S","SV",,4462,,"DAY CARE CENTER",,,"{F4EA6111-1DF6-4E96-A162-CC124660656F}",,241,
"27-0330","CREATIVE THEMES DAY CAMP","PRE-OP INSPECTION",2008-05-30 0:00:00,"S","PR",,4463,,"CHILDREN'S CAMP",,,"{2C613534-8BAC-4AF7-B3C9-A0ED1767226D}",,241,
