"CHURCH NUMBER","CHURCH NAME","ADDRESS","CITY","ZIPCODE","ISSUE DATE","EXPIRATION DATE","s_ColLineage","s_Generation","s_GUID","s_Lineage"
58,"MEMORIAL A.M.E. ZION CHURCH","549 CLARISSA ST.","ROCHESTER, NY",14608,2014-07-18 0:00:00,2016-07-18 0:00:00,,13891,"{42B4E3CE-23F5-4795-AD70-B83110A84A25}",
59,"UNITED METHODIST CHURCH","31 EAST STREET","HONEOYE FALLS, NY",14472,,,,1,"{4295FEBE-BAA7-4214-A2AB-AC6A7A35F863}",
60,"ST. MARY PROTECTRESS UKRAINIAN ORTHODOX CHURCH","3176 ST. PAUL BLVD","ROCHESTER, NY",14617,,,,1,"{D527AEF0-2635-4B64-864E-4C3BF80F037F}",
61,"ST. GEORGE'S CHURCH - LAKE AT STUTSON (CANCELLED) ","MOVED",,,,,,1,"{EB37DEF2-FA19-40E5-A045-348D21DC3BE5}",
62,"ST. JOSAPHAT UKRAINIAN CATHOLIC CHURCH","940 E. RIDGE RD","ROCHESTER, NY",14621,2017-08-02 0:00:00,2019-08-02 0:00:00,,18068,"{F09BCF20-5B71-4825-9836-33B4CE6E995B}",
63,"CHURCH AT THE WELL","2475 WESTSIDE DR.","NORTH CHILI, NY",14514,,,,1,"{B2FE1226-4BEB-4E1B-A676-58A7013390AD}",
64,"ST. SALOME'S CHURCH","4282 CULVER RD.","ROCHESTER, NY",14622,,,,1,"{36250328-BEA2-41E9-AF7C-C42EBDF1450A}",
65,"ALDERSGATE UNITED METHODIST CHURCH","4115 DEWEY AVE.","ROCHESTER, NY",14616,2014-11-17 0:00:00,2016-11-17 0:00:00,,14742,"{9D4FF785-C4CF-4BF4-90CD-ED86F520EA1B}",
66,"LAURELTON VOLUNTEER FIRE ASSOCIATION INC.","405 EMPIRE BLVD.","ROCHESTER, NY",14608,,,,1,"{CD5175A8-E861-4679-963A-25CC24E6CBD9}",
67,"ST. MARGARET MARY CHURCH","401 ROGERS PKWY","ROCHESTER, NY",14617,,,,1,"{AD94FADA-F3C3-4892-BA67-56BCB0F9D9DF}",
68,"HOLY ROSARY CHURCH","414 LEXINGTON AVENUE","ROCHESTER, NY",14613,2003-04-26 0:00:00,2005-04-26 0:00:00,,1,"{E7A41B5E-EF2C-4F68-A628-36A94C719720}",
69,"WEST HENRIETTA BAPTIST CHURCH","5660 W. HENRIETTA RD.","W.HENRIETTA, NY",14543,,,,1,"{A6EB5384-31B6-4AFE-ACB8-58C80B3150FC}",
70,"HOLY SPIRIT CHURCH","1355 HATCH RD.","WEBSTER, NY",14580,,,,1,"{39F4E344-36AA-4663-AF0B-0DE1368EAF3C}",
71,"OUR LADY OF MERCY","36 ARMSTRONG RD.","ROCHESTER, NY",14616,,,,14369,"{039D9F03-34EC-4DED-8B86-4DCC3AA3D1DF}",
72,"ST. MICHAEL'S CHURCH","869 N. CLINTON AVE.","ROCHESTER, NY",14605,2017-02-27 0:00:00,2019-02-27 0:00:00,,17944,"{05098747-C943-484E-A993-A6202C0DE779}",
73,"BABER A.M.E. CHURCH","550 MEIGS ST.","ROCHESTER, NY",14607,,,,1,"{766585F2-5BEC-4DF8-935F-596CEF9CF4CE}",
74,"HOLY NAME OF JESUS CHURCH","ST. MARTIN'S WAY","ROCHESTER, NY",14616,,,,1,"{9CCE0287-0519-4B6C-84AB-5EF3951F1801}",
75,"WEBSTER ASSEMBLY OF GOD","708 HARD ROAD","WEBSTER, NY",14580,,,,1,"{5F514C47-F569-48A5-BC70-C79BBAB94925}",
76,"SALEM UNITED CHURCH OF CHRIST","60 BITTNER ST.","ROCHESTER, NY",,,,,1,"{4FB99A74-1220-4975-9373-48176D9A5020}",
77,"CHURCH OF JESUS CHRIST LATTER DAY SAINTS-BRIGHTON","1400 WESTFALL RD","ROCHESTER, NY",14618,,,,1,"{C4DACDAB-216C-4418-B0CB-11C019B78014}",
78,"CALVARY CHURCH OF THE NAZARENE","285 E. HENRIETTA RD.","ROCHESTER, NY",14620,,,,1,"{85ACEB69-0341-4F03-BA2A-8C98B3298122}",
79,"FIRST CHURCH OF GOD","334 CLARISSA STREET","ROCHESTER, NY",14608,2003-04-24 0:00:00,2005-04-24 0:00:00,,1,"{BBE79006-9973-4D97-9204-3721F321B1D7}",
80,"WESTMINSTER PRESBYTERIAN","216 THURSTON RD.","ROCHESTER, NY",14619,,,,1,"{2310E15F-456C-4E80-96F5-73A8F53A6DDB}",
121,"MASJID NUR","353 CHILD ST.","ROCHESTER, NY",14611,,,,1,"{06F93817-9EF9-42FE-84B1-FA7736859FE8}",
248,"LAKEVIEW COMMUNITY CHURCH","30 LONG POND RD.","ROCHESTER, NY",14612,2013-03-15 0:00:00,2015-03-15 0:00:00,,1,"{072552B6-27E0-4958-B6AD-4B88E2CDF7A0}",
249,"ANTIOCH MISSIONARY BAPTIST CHURCH","304 JOSEPH AVE.","ROCHESTER, NY",14605,2017-05-19 0:00:00,2019-05-19 0:00:00,,18068,"{1E1EF547-A16C-4F3A-922F-FF02B8C51482}",
250,"CHURCH OF THE GOOD SHEPHERD","3318 EAST HENRIETTA RD.","HENRIETTA, NY",14467,2017-09-19 0:00:00,2019-09-19 0:00:00,,18068,"{CB5D50C4-7F92-492C-A6C4-4DC65E29C535}",
251,"THE POTTER'S HOUSE","321 EAST LINDEN AVE","E. ROCHESTER, NY",14445,2013-11-15 0:00:00,2015-11-15 0:00:00,,10690,"{B5622222-C09E-4E87-A78A-70C3FDEF7C4D}",
252,"CONCORD LUTHERAN CHURCH","6601 FOURTH SECTION RD.","BROCKPORT, NY",14420,2012-02-14 0:00:00,2014-02-14 0:00:00,,1,"{9F861D27-B0DB-4493-990C-C38314012738}",
253,"ST. MARK'S CHURCH","54 KUHN ROAD","ROCHESTER, NY",14612,2016-02-03 0:00:00,2018-02-03 0:00:00,,17565,"{DC811650-FB90-42DD-90EA-DEAC06B596B5}",
254,"CHURCH OF ST. JEROME","207 SOUTH GARFIELD ST.","EAST ROCHESTER, NY",14445,2012-04-23 0:00:00,2014-04-23 0:00:00,,1,"{2C1D1E3B-0D65-46BF-A1D2-4335F5F58843}",
255,"EVANGELICAL LUTHERAN CHURCH OF THE RESURRECTION","3736 SAINT PAUL BLVD.","ROCHESTER, NY",14617,2016-03-30 0:00:00,2018-03-30 0:00:00,,17634,"{DE849E1B-0186-4BB7-9530-C2D76AA20C10}",
256,"NEW PROGRESSIVE CATHEDRAL CHURCH OF GOD IN CHRIST","410 CHILI AVE.","ROCHESTER, NY",14611,2017-04-10 0:00:00,2019-04-10 0:00:00,,18068,"{230ECC88-D179-48B2-836F-DD1861364E84}",
257,"NEW VISIONS COMMUNITY CHURCH OF GOD IN CHRIST","1270 NORTON ST.","ROCHESTER, NY",14621,2014-08-20 0:00:00,2016-08-20 0:00:00,,14114,"{CA41892B-385E-4B5D-AC70-66940CFB7F35}",
258,"TRIEDSTONE MISSIONARY BAPTIST CHURCH","21 RITZ STREET","ROCHESTER, NY",14605,2012-07-03 0:00:00,2014-07-03 0:00:00,,1,"{A99D2AF8-F137-432F-8E94-1A8691C4A43D}",
259,"HAMLIN LIONS CLUB","60 ALDERBUSH LANE","HAMLIN, NY",14464,2012-07-09 0:00:00,2014-07-09 0:00:00,,1,"{A2796B0F-F456-4A20-9669-315C8338DB44}",
122,"PENFIELD UNITED METHODIST CHURCH","1795 BAIRD RD.","PENFIELD, NY",14526,2016-03-28 0:00:00,2018-03-28 0:00:00,,17628,"{DBAA462A-E52C-496C-9FDA-5DD328384C72}",
123,"UNITED METHODIST CHURCH OF HONEOYE FALLS","31 EAST ST.","HONEOYE FALLS, NY",14472,2003-02-12 0:00:00,2005-02-12 0:00:00,,1,"{0D0BC9A3-F3C2-4E68-AE2A-3310E9556CA8}",
125,"AMERICAN ASSOCIATION OF UNIVERSITY WOMEN","494 EAST AVE.","ROCHESTER, NY",14607,2004-05-19 0:00:00,2006-05-19 0:00:00,,1,"{18BC9133-CB1E-4939-8B12-76179DE6563F}",
126,"GOLDEN HEIGHTS CHRISTIAN CENTER CHURCH","77 BETHEL DRIVE","BROCKPORT, NY",14420,,,,1,"{E6577EF5-9262-4726-AFEB-1FC777D6D2A8}",
127,"SPENCERPORT ASSEMBLY OF GOD (ON REG.  WAIVER List ","3940 CANAL RD.","SPENCERPORT, NY",14559,,,,1,"{CB2BD0CC-2F8E-40E9-8557-B210519B9288}",
128,"AMERICAN LEGION, BRAMAN POST NO. 1229 (Waiver list","P.O. BOX 4","PENFIELD, NY",14526,,,,1,"{110BF175-3E35-4149-9FF6-097B8BD7A406}",
129,"CHRIST EPISCOPAL CHURCH OF PITTSFORD","36 S.MAIN ST.","PITTSFORD, NY",14534,2009-10-26 0:00:00,2011-10-26 0:00:00,,1,"{41392A7E-FEE4-428E-A9CA-DF96B674689A}",
130,"ST. PHILIP NERI CHURCH","1782 CLIFFORD AVE.","ROCHESTER, NY",14609,,,,1,"{6E90AB18-6F54-4375-B669-0EF6832A561C}",
131,"ST. MARK'S AND ST. JOHN'S EPISCOPAL CHURCH","1245 CULVER RD.","ROCHESTER, NY",14609,2016-08-02 0:00:00,2018-08-02 0:00:00,,17727,"{C1CA581B-57C3-42AB-9D05-08C0298AB5BD}",
132,"PRAYER HOUSE CHURCH OF GOD BY FAITH INC.","270 CUMBERLAND ST PO BOX 30108","ROCHESTER, NY",14603,2014-03-24 0:00:00,2016-03-24 0:00:00,,11249,"{5710833A-C117-4ECA-8B18-CBFA7ED49B88}",
133,"FAIRPORT UNITED METHODIST CHURCH","31 W. CHURCH ST.","FAIRPORT, NY",14450,2015-12-14 0:00:00,2017-12-14 0:00:00,,17339,"{5E74D4E8-B256-49BB-BC96-4ED9EF5FA2DC}",
134,"ST. CHARLES BORROMEO CHURCH","3003 DEWEY AVE.","ROCHESTER, NY",14616,2017-02-13 0:00:00,2019-02-13 0:00:00,,17944,"{333A23D1-86C0-4A36-A5F6-1DC9E0FC1340}",
135,"ST. RITA'S CHURCH","1008 MAPLE DR.","WEBSTER, NY",14580,2017-10-30 0:00:00,2019-10-30 0:00:00,,0,"{E03D44DC-A838-4684-A058-CC7324E91C2B}",
136,"PERINTON PRESBYTERIAN CHURCH","6511 PITTSFORD-PALMYRA RD.","FAIRPORT, NY",14450,2002-06-18 0:00:00,2004-06-18 0:00:00,,1,"{F37B2EC6-C192-4EF9-A73E-E0974B953F0D}",
137,"TWELVE CORNERS PRESBYTERIAN CHURCH","1200 S. WINTON RD.","ROCHESTER, NY",14618,2011-08-23 0:00:00,2013-08-23 0:00:00,,1,"{0680F904-D191-46B1-BBEA-9FDB8E65749A}",
138,"FREE AND ACCEPTED MASONS","19 DELAND PK.B","FAIRPORT, NY",14450,,,,1,"{BBE4233E-FB40-4A23-870A-D0E06158B60D}",
139,"AENON BAPTIST CHURCH","175 GENESEE ST.","ROCHESTER, NY",14611,2012-09-13 0:00:00,2014-09-13 0:00:00,,1,"{5CF72B0B-23ED-4CF5-A282-40CD2784E756}",
140,"ELMGROVE UNITED METHODIST CHURCH","1500 SPENCERPORT RD.","ROCHESTER, NY",14606,2016-06-14 0:00:00,2018-06-14 0:00:00,,17727,"{E74F8204-211F-45A8-9C13-A846462E93C4}",
141,"ROCHESTER URBAN CTR. - AN EXTENSION OF ELIM BIBLE","20 AMERHURST ST.","ROCHESTER, NY",14607,,,,1,"{B6C02034-ECB0-4C80-A021-25EA02655C66}",
142,"THE NEW OUTREACH TEMPLE CHURCH OF GOD IN CHRIST","218 MURRAY ST.","ROCHESTER, NY",14606,2014-09-02 0:00:00,2016-09-02 0:00:00,,14241,"{8B224986-ECEC-4099-9CE0-F715BF1AD93B}",
143,"HAMLIN FIRE EXEMPT","1382 LAKE RD., P.O. BOX 228","HAMLIN, NY",14464,,,,1,"{C9492427-38A9-47F8-A85A-4F6B7768D55F}",
144,"TRINITY LUTHERAN CHURCH","191 NICHOLS ST.","SPENCERPORT, NY",14559,2008-04-18 0:00:00,2010-04-18 0:00:00,,1,"{6C00DACD-759D-4263-8B7C-0F3F5011C292}",
145,"FAITH TEMPLE APOSTOLIC HOUSE OF GRACE","630 PORTLAND AVE.","ROCHESTER, NY",14621,,,,1,"{9EE42895-1945-4F06-A92D-7DB86BC9F335}",
146,"EBENEZER BAPTIST CHURCH","174 THURSTON RD.","ROCHESTER, NY",14619,2016-09-14 0:00:00,2018-09-14 0:00:00,,17746,"{754E074A-4D12-4640-BC7C-B55DF287C776}",
147,"CHURCH OF THE HOLY GHOST","220 COLDWATER RD.","ROCHESTER, NY",14624,,,,1,"{EC77AD7F-FECF-4370-8318-A9E37E7871C4}",
81,"(TRANSFERRED TO REGULAR WAIVER LIST)",,,,,,,1,"{68B65403-B7CB-4E0B-AEC4-0A74822B9A59}",
82,"ST. LAWRENCE CHURCH","1000 NORTH GREECE ROAD","ROCHESTER, NY",14626,2011-09-12 0:00:00,2013-09-12 0:00:00,,1,"{CCB69197-F474-4AEC-BD62-59BE2C59172E}",
83,"FIRST PRESBYTERIAN CHURCH OF PITTSFORD","21 CHURCH ST.","PITTSFORD, NY",14534,2015-12-09 0:00:00,2017-12-09 0:00:00,,17339,"{407DDADC-8749-4CC5-9633-ABF7AE3FEE00}",
84,"GRACE COVENANT CHURCH","224 CHESTNUT RIDGE RD.","ROCHESTER, NY",14624,,,,1,"{5A3C8D83-ECC0-4742-9A44-BCB11ACDF35C}",
85,"ROCHESTER CHRISTIAN CHURCH MINISTRIES","208 N. GOODMAN ST.","ROCHESTER, NY",14607,2005-11-16 0:00:00,2007-11-16 0:00:00,,1,"{2699AE4A-F1D9-4015-8B93-13B05A1395BD}",
86,"GRAVES INSTITUTIONAL C.M.E. CHURCH","372 FLINT STREET","ROCHESTER, NY",14611,2003-03-19 0:00:00,2005-03-12 0:00:00,,1,"{789E4D1C-8378-468E-8237-B5C5F31C23A5}",
87,"ST. JOHN THE BAPTIST ORTHODOX CHURCH see church 36","855 S. GOODMAN ST.","ROCHESTER, NY",14620,,,,16585,"{1444EB6A-4433-4893-B5BE-8BEB9F6AF46E}",
88,"BENJAMIN TEMPLE CHURCH OF GOD IN CHRIST","85 PROSPECT ST.","ROCHESTER, NY",14608,,,,1,"{10AC2313-9720-4EAC-8D42-CFBFF2D909B1}",
89,"FIRST BAPTIST CHURCH OF PENFIELD","1862 PENFIELD RD.","PENFIELD, NY",14526,2011-05-05 0:00:00,2013-05-05 0:00:00,,1,"{A1D2F500-3CE6-48BF-A72C-397D79D19E08}",
90,"SPENCERPORT UNITED METHODIST CHURCH","32 AMITY ST.","SPENCERPORT, NY",14559,2017-08-21 0:00:00,2019-08-21 0:00:00,,18068,"{0FC281E5-0D40-4400-A788-0CF127A4FC51}",
91,"UNITED CHURCH OF CHRIST CONGREGATIONAL","570 KLEM RD.","WEBSTER, NY",14580,2017-02-24 0:00:00,2019-02-24 0:00:00,,17944,"{046E11F7-FF48-4847-8921-E59186C8FC1A}",
92,"ST. JOHN'S EPISCOPAL CHURCH","11 EPISCOPAL ST.","HONEOYE FALL, NY",14472,2008-02-28 0:00:00,2010-02-28 0:00:00,,16585,"{018C9EE5-AF5F-41F5-9E26-45F2CB79B254}",
93,"CHURCH OF THE COVENANT","159 ALEXANDER ST.","ROCHESTER, NY",14607,,,,1,"{29DD3A94-F3DD-439F-942E-4270AF372017}",
94,"ST. JOHN THE EVANGELIST OF GREECE","2400 W. RIDGE RD.","ROCHESTER, NY",14626,2016-01-25 0:00:00,2018-01-25 0:00:00,,17565,"{B66039D3-F57A-48E2-89CD-70E1C400F944}",
95,"BRIGHTON REFORMED CHURCH","805 BLOSSOM RD.","ROCHESTER, NY",14610,2010-04-19 0:00:00,2012-04-19 0:00:00,,1,"{9EE90409-1A06-4266-B7BC-514D697E6932}",
97,"PARMA GREECE UNITED CHURCH OF CHRIST","1211 MANITOU RD.","HILTON, NY",14468,2016-05-18 0:00:00,2018-05-18 0:00:00,,17649,"{FC3513CE-DBD1-4256-A522-94F07806F50F}",
98,"WEBSTER LODGE # 538 F & AM","P.O. BOX 15","WEBSTER, NY",14580,2017-11-30 0:00:00,2019-11-30 0:00:00,,0,"{FD140D6F-F61F-4969-8161-6DEC95DE79CD}",
99,"MASJID MUHAMMAD","370 NORTH ST.","ROCHESTER, NY",14605,,,,1,"{6CD617CB-2DBD-4E08-A732-0DA22EADFAF4}",
100,"PERINTON COMMUNITY CHURCH","636 HIGH ST. EXTENSION","FAIRPORT, NY",14450,2016-04-13 0:00:00,2018-04-13 0:00:00,,17634,"{579B2580-2C3E-4FA0-B34D-B20F82FA09D0}",
101,"FIRST ASSEMBLY OF GOD","45 JONES AVE.","ROCHESTER, NY",14608,2004-08-10 0:00:00,2006-08-10 0:00:00,,1,"{E62D0505-6D34-41D2-BA5A-26B3FE195632}",
102,"FOUNTAIN MISSIONARY BAPTIST CHURCH","402 SCIO ST.","ROCHESTER, NY",14605,2016-10-15 0:00:00,2018-10-15 0:00:00,,17758,"{C64D4A3C-7057-4451-B227-BC71D00F5CF4}",
103,"ST. GEORGE'S EPISCOPAL CHURCH","635 WILDER RD.","HILTON, NY",14468,2011-10-11 0:00:00,2013-10-11 0:00:00,,1,"{BBA380AE-0003-4B4E-8188-DEC49CAD6CF8}",
104,"HOLY CROSS CHURCH","4492 LAKE AVENUE","ROCHESTER, NY",14612,,,,1,"{132B42F2-7AD3-4F8E-B83C-7569CE4D047A}",
105,"BROCKPORT FREE METHODIST CHURCH","6787 FOURTH SECTION RD.","BROCKPORT, NY",14420,2015-03-27 0:00:00,2017-03-27 0:00:00,,16052,"{A00A530E-2150-4B7C-AA2A-94EAA086427C}",
106,"LAKESIDE PRESBYTERIAN CHURCH","75 STUTSON","ROCHESTER, NY",14612,,,,1,"{7A1AE37E-B8D6-4F8D-B7DF-9E5223F4C240}",
107,"JESUS DISCIPLES - HOUSE OF PRAYER, INC.,","71 PORTLAND AVE","ROCHESTER, NY",14611,2001-01-12 0:00:00,2003-01-12 0:00:00,,1,"{5634DC4A-E825-4951-B406-B947AF46DB32}",
108,"ST. PAUL LUTHERAN CHURCH AND SCHOOL","158 EAST AVENUE","HILTON, NY",14468,2009-10-26 0:00:00,2011-10-26 0:00:00,,1,"{492C704C-4026-415F-876C-5C2FCE4BA391}",
109,"ASBURY FIRST UNITED METHODIST CHURCH","1050 EAST AVENUE","ROCHESTER, NY",14607,2004-03-16 0:00:00,2006-03-16 0:00:00,,1,"{AB6C4B8E-D663-4BB3-9388-529D81C349B6}",
110,"IRONDEQUOIT ASSEMBLY OF GOD","2150 PORTLAND AVE.","ROCHESTER, NY",14617,,,,1,"{871D51E3-BFF3-4D42-98BF-C248692A290B}",
111,"FIRST CONGREGATIONAL CHURCH, U.C.C.","65 CHURCH ST.","SPENCERPORT, NY",14559,2017-12-07 0:00:00,2019-12-07 0:00:00,,0,"{D0ADA75C-CC14-40E9-8D33-521F03FEF273}",
112,"CHURCH OF THE NATIVITY OF THE BLESSED VIRGIN MARY","152 MAIN ST.","BROCKPORT, NY",14420,2016-05-12 0:00:00,2018-05-12 0:00:00,,17649,"{F4B90F23-E766-45D6-90E3-AF979EC9A8F4}",
113,"TEMPLE B'RITH KODESH","2131 ELMWOOD AVE.","ROCHESTER, NY",14618,2013-04-05 0:00:00,2015-04-05 0:00:00,,1,"{C85E6E74-0DBE-4943-A826-12EB23233B1C}",
114,"CHRIST THE KING CHURCH (SEE 186)","455 KINGS HWY. S","ROCHESTER, NY",14617,,,,1,"{019339D8-FD6C-40F8-82AB-2ED35575357C}",
115,"ST. LUKE'S EPISCOPAL CHURCH","14 STATE STREET","BROCKPORT, NY",14420,2016-07-27 0:00:00,2018-07-27 0:00:00,,17727,"{1AAD5AC4-E7D7-4610-9DC2-A9BFA34FF55B}",
116,"ST. JOSEPH'S CHURCH OF RUSH","1209 RUSH-WEST RUSH RD.","RUSH, NY",14543,2017-09-19 0:00:00,2019-09-19 0:00:00,,18068,"{FCD03B19-1E89-4F60-B0F9-10F6303B348C}",
117,"BETHESDA CHURCH OF GOD IN CHRIST","120 ST. BRIGET'S DRIVE","ROCHESTER, NY",14605,,,,1,"{31DA1BE7-0645-442D-B441-D96A3A3C7D3C}",
118,"GRACE UNITED METHODIST CHURCH","121 DRIVING PARK AVE.","ROCHESTER, NY",14613,2009-07-31 0:00:00,2011-07-31 0:00:00,,1,"{C053D050-12FE-45F6-B0FC-A610B59F0ECA}",
119,"MASONS/STARS OF ROCHESTER, NY, INC.","616 BROWN ST.","ROCHESTER, NY",14611,,,,1,"{11FC1C13-7426-4BA7-941E-67AC1194EA84}",
120,"THE FIRST PRESBYTERIAN CHURCH OF EAST ROCHESTER","109 EAST AVENUE","EAST ROCHESTER, NY",14445,2006-10-19 0:00:00,2008-10-19 0:00:00,,1,"{162DCAF2-48B5-4DB1-872D-6D43EEC1095D}",
240,"VINEYARD CHURCH","2150 PORTLAND AVE.","ROCHESTER, NY",14617,2017-03-27 0:00:00,2019-03-27 0:00:00,,17962,"{EEAD83C0-400B-4CB7-BFD9-CA8B06BFD839}",
2,"THE BAPTIST TEMPLE","1101 CLOVER ST.","ROCHESTER, NY",14610,2003-07-21 0:00:00,2005-07-21 0:00:00,,1,"{E25044C4-D602-4DA3-AF3D-70119ED76892}",
3,"RAYMOND MEMORIAL BAPTIST CHURCH","20 E. CHURCH ST.","FAIRPORT, NY",14450,,,,1,"{0CDDB56D-7E01-491A-BD8D-00803DDA2389}",
4,"MORTON BAPTIST CHURCH","1152 COUNTY LINE RD.","MORTON, NY",14508,2012-01-27 0:00:00,2014-01-27 0:00:00,,1,"{32E7F496-D9B1-4EE4-A6B8-046B951C648C}",
5,"ST. MARTIN LUTHERAN CHURCH","813 BAY ROAD","WEBSTER, NY",14580,2017-06-20 0:00:00,2019-06-20 0:00:00,,18068,"{04E4728C-AA83-4E0F-83ED-92447CFE2BF2}",
6,"JUNIOR LEAGUE OF ROCHESTER","33 SOUTH WASHINGTON ST.","ROCHESTER, NY",14608,,,,1,"{A5987849-15E5-4B10-BCDE-B682F60ED3F6}",
7,"ST. JOHN'S EPISCOPAL CHURCH","11 EPISCOPAL ST.","HONEOYE FALLS, NY",14472,,,,1,"{D3B0271B-BEEF-461B-AA4D-45507CB79278}",
8,"OGDEN BAPTIST CHURCH","721 WASHINGTON ST.","SPENCERPORT, NY",14559,2016-09-09 0:00:00,2018-09-09 0:00:00,,17741,"{FF39DC1C-12AF-4A97-AD8F-4AD1B8335148}",
9,"ST. PAUL'S CHURCH","NORTON & JEWEL ST.","ROCHESTER, NY",14621,,,,1,"{0BEB27DF-23B9-48EC-BF91-37B657B8A5DD}",
10,"FIRST CONGREGATIONAL UNITED CHURCH OF CHRIST","26 E. CHURCH ST.","FAIRPORT, NY",14450,2017-01-23 0:00:00,2019-01-23 0:00:00,,17944,"{A4F59A75-4537-408E-947B-9A77F22B2580}",
11,"DURAND UNITED CHURCH OF CHRIST","4225 CULVER RD","ROCHESTER, NY",14622,,,,1,"{7A0B44A2-AD53-41D2-A62E-5AD675CB4490}",
12,"WARING BAPTIST CHURCH","1921 NORTON ST.","ROCHESTER, NY",14609,,,,1,"{94A5371C-CB64-4598-ABEC-AA212BBBCDC0}",
13,"MORTON FIRE DISTRICT","P.O. BOX 164","MORTON, NY",14508,,,,1,"{FB9EB09B-C794-47F2-80EB-6F19A363D3DE}",
14,"THE UNITED CHURCH OF PITTSFORD","123 S. MAIN ST.","PITTSFORD, NY",14534,2016-04-18 0:00:00,2018-04-18 0:00:00,,17642,"{44321661-0D8B-4616-A4A3-02583AFE1B1D}",
15,"GREECE ROTARY(NOW ON WAIVER LIST)","79 FETZNER RD","ROCHESTER, NY",14626,,,,1,"{5F277CD0-F633-4B10-9F61-86F47139650F}",
16,"UNION PRESBYTERIAN CHURCH","1 BROWNS AVE. PO BOX 4","SCOTTSVILLE NY",14546,2016-02-26 0:00:00,2018-02-26 0:00:00,,17597,"{ECD6E255-8C5A-4045-A52A-A2C8CD2833E8}",
17,"DOWNTOWN UNITED PRESBYTERIAN","121 N. FITZHUGH ST.","ROCHESTER, NY",14614,,,,1,"{ACE4A200-A29C-4946-9663-CB3EF9AFD14F}",
18,"(TRANSFERRED TO REGULAR WAIVER LIST)",,,,,,,1,"{DB0C6BAB-E36F-4168-B320-D67823D1395E}",
19,"BETHANY PRESBYTERIAN CHURCH","3000 DEWEY AVE","ROCHESTER, NY",14616,2017-06-30 0:00:00,2019-06-30 0:00:00,,18068,"{BDB002E7-7885-41F7-9277-230721C3D62A}",
20,"FIRST PRESBYTERIAN CHURCH OF BROCKPORT","35 STATE ST","BROCKPORT, NY",14420,2016-05-16 0:00:00,2018-05-16 0:00:00,,17649,"{49256229-8199-4A39-80D9-F0703AA1F677}",
21,"UNION CONGREGATIONAL UNITED CHURCH OF CHRIST","14 N. MAIN ST.","CHURCHVILLE, NY",14428,2015-02-09 0:00:00,2017-02-09 0:00:00,,15740,"{B778DF9A-2994-4334-8767-1757501485E9}",
22,"TRINITY EMANUEL LUTHERAN CHURCH","761 ELMGROVE RD","ROCHESTER, NY",14624,,,,1,"{3199A021-2F4A-400B-A112-19FEDD2CC2DA}",
23,"GATES PRESBYTERIAN CHURCH","1049 WEGMAN RD.","ROCHESTER, NY",14624,2017-04-27 0:00:00,2019-04-27 0:00:00,,18068,"{DFCDDD4D-5647-4958-A523-8F8F3DBA1F4B}",
24,"OGDEN PRESBYTERIAN CHURCH","2400 S. UNION ST.","SPENCERPORT, NY",14559,2016-09-17 0:00:00,2018-09-17 0:00:00,,17727,"{2BA3EF06-15BA-4991-8B76-4866CF8FD9A6}",
25,"CHURCH OF JESUS CHRIST","16 HELENA ST.","ROCHESTER, NY",14605,,,,1,"{0FA5CCC9-8C89-401F-AFB8-9A000E4EE8C0}",
26,"ALDERSGATE UNITED METHODIST CHURCH (see church 65)","4115 DEWEY AVE.","ROCHESTER, NY",14616,,,,1,"{685866D0-89EB-4393-A022-E7A15C656E44}",
27,"LUTHERAN CHURCH OF CONCORD","485 HOMES RD","ROCHESTER, NY",14626,,,,1,"{D30AD6DA-6BE4-48E2-A5AB-E7D15E2707BB}",
28,"TRINITY UNITED METHODIST","POST AVENUE AND SAWYER, P. O. BOX 8522","ROCHESTER, NY",14619,,,,1,"{5E52DD01-F2F0-4F8C-BD64-717EE8B3B629}",
29,"EMANUEL UNITED CHURCH OF CHRIST - HENRIETTA","1095 EAST HENRIETTA RD.","ROCHESTER, NY",14623,,,,1,"{3BF3E3F4-769C-47E2-AD51-F0AB18A15F77}",
30,"UNITED METHODIST CHURCH OF NORTH CHILI","2200 WESTSIDE DR.","ROCHESTER, NY",14624,2016-01-15 0:00:00,2018-01-15 0:00:00,,17565,"{03F7EE4C-55ED-40ED-B3BE-100A22E3B9AC}",
31,"LUTHERAN CHURCH OF THE REDEEMER","1549 DEWEY AVE","ROCHESTER, NY",14615,,,,1,"{4453AA22-4532-4A73-ACB7-B1D9EBE41807}",
32,"PENFIELD WESLEYAN CHURCH","1580 FIVE MILE LINE RD","PENFIELD, NY",14526,2004-05-11 0:00:00,2006-05-11 0:00:00,,1,"{B9839ACB-26B8-41B3-A21C-FC93DF60F3D1}",
34,"EVANGELICAL LUTHERAN","111 N. CHESTNUT ST.","ROCHESTER, NY",14604,,,,1,"{BB2C35E9-6392-4249-AE93-5E26737F38D2}",
35,"SALEM BAPTIST CHURCH","114 THOMAS ST.","ROCHESTER, NY",14621,,,,1,"{4782706A-16FA-481E-8CCC-FAF136922F96}",
36,"ST. JOHN THE BAPTIST ORTHODOX CHURCH see church 87","855 S. GOODMAN ST.","ROCHESTER, NY",14620,,,,16585,"{63A1E24D-1BF4-4AF6-A27D-3F73A9E82975}",
