"FAC.","FACILITY_NAME","FACILITY_ADDRESS","CITY","FAC_ZIP","FAC_TYPE.","FAC_TYPE","ACTIVE","PHONE_NO","CITY_TOWN","OPERATOR_OWNER","OPERATOR_ADDRESS","OPERATOR_CITY","OPER_ZIP","EMAIL_1","EMAIL_2","EIN_SS.","CONTACT","OPER_PHONE","PERMIT FAC_TYPE","CAPACITY","SESSIONS","FEE","OPEN_DATE","CLOSE_DATE","APPL_DATE","WC/DB REC"D","PRESEASON","PRE_COMMENT","PERMIT","OPER_INSP","OPER_COMMENT","INSPR","OPER_REIN","OPER_REINCOMMENT","2ND_REIN","2ND_REINCOMMENT","PARTIAL_INSP","FEE PAID","DATE_PAID","HEARING_DATE","DOH-3965","DOH-367","DOH-2271","LDSS-3370","DSS ANS","MANUAL OK","MANUAL UPDATE","COMMENTS","Pre-Op Status","FIRST AID CERTIFICATIONS RECEIVED","LIFEGUARD/PSI CERTIFICATIONS","FOOD SERVICE","COUNSELOR TO CAMPER RATIO","EMAIL CONTACT","CAMP DIRECTOR","HEALTH DIRECTOR","AQUATICS DIRECTOR","CPR CERT","POOL OPERATOR","AQUATICS DIR REQUIRED","AQUATICS DIRECTOR CERTS","Reviewed By","APP SENT","OPERATION ID","AMUSEMENT DEVICES FORM","COVERED AMUSEMENT DEVICES","Gen_COMMENTS","s_GUID","Aen_COMMENTS","SAFETY PLAN DISABILITY ADN"
"27-6600c","R.I.T. NTID - HEALTH CARE CAREERS EXPLORATION","52 LOMB DRIVE","ROCHESTER, NY 14623",14623.00,,"CHILDREN'S CAMP","yes","5854757695","HENRIETTA","ROCHESTER INSTITUTE OF TECHNOLOGY - NTID","52 LOMB MEMORIAL DRIVE, 60-2796","ROCHESTER, NY","14623",,,,"GINNY LINDSAY/MARK SOMMER","5854757695","CHILDREN'S OVERNIGHT CAMP",24.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"RIT",0,"VALNSS@NTID.RIT.EDU",,,,0,"RIT",,0,"LH",,,0,0,,"{76372480-25AB-4E49-B5DF-0913053EB0AB}",1360,0
"27-6612","SWAN TRAVELING DAY CAMP","275 DR. SAMUEL MCCREE WAY","ROCHESTER, NY  14611",14611.00,13.00,"CHILDREN'S CAMP","yes","5854368201","ROCHESTER","SOUTHWEST AREA NEIGHBORHOOD ASSOC.","275 DR. SAMUEL MCCREE WAY","ROCHESTER, N Y","14611",,,"161207512","JAMMONE ALEXANDER","5854368201","CHILDREN'S DAY CAMP",75.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rochester City Schools",0,"JALEXANDER@SWANONLINE.ORG",,,,0,"No swimming","No",0,"WS",,,0,0,1,"{66C80AED-054D-4AC9-86E5-62D9CCED08C3}",1320,0
"27-6663","ROCHESTER CHRISTIAN REFORMED SUMMERS BEST TWO WEEKS","2750 ATLANTIC AVENUE","PENFIELD, NY  14526",14526.00,16.00,"CHILDREN'S CAMP","Yes","5858803985","PENFIELD","ROCHESTER CHRISTIAN REFORMED CHURCH","2750 ATLANTIC AVENUE","ROCHESTER, NY","14526",,,,"Dianka Sobiech/PAMELA MCINERNEY","5853817861","CHILDREN'S DAY CAMP",125.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"sbtwpenfield@gmail.com/Pammac@frontiernet.net",,,,0,"Webster Aquatics Center","No",0,"LH",,,0,0,104,"{B85B7444-62B2-4CFA-9E76-B40F958CDE3F}",1371,0
"27-6764","GREECE COMMUNITY EDUCATION","1144 Long Pond Road","ROCHESTER, NY  14626",14616.00,16.00,"CHILDREN'S CAMP","Yes","5859662399","GREECE","GREECE CENTRAL SCHOOL DISTRICT","P.O. BOX 300","N. GREECE, NY","14515",,,"166001774","RENEE WARD","5859662399","CHILDREN'S DAY CAMP",120.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"RENEE.WARD@GREECECSD.org",,,,0,"No Swimming","No",0,"LH",,,0,1,1,"{76E9C1CE-FEAD-420A-9105-6A50F24DEC3E}",1200,0
"27-6877","YMCA EASTSIDE","1835 FAIRPORT NINE MILE ROAD","PENFIELD, NY  14526",14526.00,16.00,"CHILDREN'S CAMP","Yes","5853414027","PENFIELD","YMCA OF GREATER ROCHESTER","1835 FAIRPORT NINE MILE POINT ROAD","PENFIELD, NY","14526",,,"160743242","Sarah Mikiewicz","5853414027","CHILDREN'S DAY CAMP",160.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,"2/13/2018 - New camp director per Jody Sarah Mikiewicz.  Email/phone needed. LH",,0,0,"BYOL",0,"Sarah.Mikiewicz@RochesterYMCA.org",,,,0,"YMCA","No",0,"LH",,,0,1,1,"{A0ECD646-F46D-4A5F-9203-A6F6DD6376DA}",1183,0
"27-6915","OFFENSE-DEFENSE SPORTS CAMP","350 NEW CAMPUS DRIVE","BROCKPORT, NY 14420",14420.00,,"CHILDREN'S CAMP","YES","8439031888","BROCKPORT","SPORTS CAMPS OF AMERICA","309 BUSH DRIVE","MYRTLE BEACH, SC","29579",,,,"RICHARD & VALERIE WHITTIER","8439031888","CHILDREN'S OVERNIGHT CAMP",40.00,,$200.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"SUNY BROCKPORT",0,"RICKW@O-D.COM, valw@o-d.com",,,,0,"NO SWIMMING","No",0,"WS",,,0,0,,"{53B95BA8-EF5C-4FB7-B487-817A51548CAB}",1269,0
"27-6927","TOWN OF WHEATLAND - CAMP at JOHNSON PARK","BROWNS AVENUE","SCOTTSVILLE, NY  14546",14546.00,14.00,"CHILDREN'S CAMP","Yes","5858891553","WHEATLAND","TOWN OF WHEATLAND RECREATION DEPT.","22 MAIN STREET - P.O. BOX 15","SCOTTSVILLE, NEW YORK","14546",,,,,"5858891553","CHILDREN'S MUNICIPAL DAY CAMP",150.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"RECREATION@TOWNOFWHEATLAND.ORG",,,,0,"No Swimming","No",0,"WS",,,0,0,1,"{3DE72650-2189-4C93-AF62-EA8E9BD895F4}",1366,0
"27-6939","TOWN OF HAMLIN CAMP","1658 LAKE ROAD","HAMLIN, NY  14464",14464.00,14.00,"CHILDREN'S CAMP","Yes","5859647222","HAMLIN","TOWN OF HAMLIN RECREATION DEPT.","1658 LAKE ROAD","HAMLIN, NY","14464",,,,"ANKE APPLEBAUM","5859647222","CHILDREN'S MUNICIPAL DAY CAMP",50.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"recreation@hamlinny.org",,,,0,,"No",0,"WS",,,0,0,1,"{925EE146-FCFD-4DAE-8348-76631FBC18E1}",1201,0
"27-6966","HILTON/PARMA REC -Village Elementary 2-3","100 SCHOOL LANE","HILTON, NY  14468",14468.00,14.00,"CHILDREN'S CAMP","Yes","5853929030","HILTON","HILTON PARMA RECREATION","59 HENRY STREET","HILTON, NEW YORK","14468",,,,"SHERRY FARRELL","5853929030","CHILDREN'S MUNICIPAL DAY CAMP",160.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"SFARRELL@PARMANY.ORG",,,,0,"No Swimming","No",0,"ES",,,0,0,1,"{74CC0671-2154-477D-9872-01882753E8F6}",1259,0
"27-6966a","HILTON/PARMA REC - MERTON WILLIAMS 6-9","200 SCHOOL LANE","HILTON, NY  14468",14468.00,14.00,"CHILDREN'S CAMP","Yes","5853929030","HILTON","HILTON PARMA RECREATION","59 HENRY STREET","HILTON, NEW YORK","14468",,,,"SHERRY FARRELL","5853929030","CHILDREN'S MUNICIPAL DAY CAMP",80.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"SFARRELL@PARMANY.ORG",,,,0,"No Swimming","No",0,"ES",,,0,0,1,"{12068328-F8AC-48A1-98B3-7854BABE4C63}",1259,0
"27-6966b","HILTON/PARMA REC - MERTON WILLIAMS 4-5","200 SCHOOL LANE","HILTON, NY  14468",14468.00,14.00,"CHILDREN'S CAMP","Yes","5853929030","HILTON","HILTON PARMA RECREATION","59 HENRY STREET","HILTON, NEW YORK","14468",,,,"SHERRY FARRELL","5853929030","CHILDREN'S MUNICIPAL DAY CAMP",80.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"SFARRELL@PARMANY.ORG",,,,0,"No Swimming","No",0,"ES",,,0,0,19,"{C9C65DDE-FFC1-4315-9286-45EF96346F75}",1260,0
"27-6966c","HILTON/PARMA REC -Village Elementary K-1","100 SCHOOL LANE","HILTON, NY  14468",14468.00,,"CHILDREN'S CAMP","Yes","5853929030","HILTON","HILTON PARMA RECREATION","59 HENRY STREET","HILTON, NEW YORK","14468",,,,"SHERRY FARRELL","5853929030","CHILDREN'S MUNICIPAL DAY CAMP",80.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"SFARRELL@PARMANY.ORG",,,,0,"No Swimming","No",0,"ES",,,0,0,,"{97E75A6B-D109-4264-9BC0-9228E4DEB0FD}",,0
"27-7018","MIDTOWN SPORTS CAMP","200 EAST HIGHLAND DR.","ROCHESTER, NY  14610",14610.00,16.00,"CHILDREN'S CAMP","Yes","5855122825","ROCHESTER","MIDTOWN ATHLETIC CLUB","200 EAST HIGHLAND DRIVE","ROCHESTER, N Y","14610",,,,"KELSIE BUNCE","5854612300","CHILDREN'S DAY CAMP",60.00,,$200.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Midtown Athletic Club",0,"CHRISSY.GAWENS@MIDTOWN.COM",,,,0,"MIDTOWN ATHLETIC CLUB","Yes",0,"WS",,,0,0,1,"{B0169023-58E4-4774-8CB4-4D064704982E}",1153,0
"27-7020","TOWN OF PENFIELD RECREATION CAMP/SCRIBNER BAY TRAIL","1750 SCRIBNER RD","PENFIELD, NY  14526",14526.00,14.00,"CHILDREN'S CAMP","Yes","5853408655","PENFIELD","TOWN OF PENFIELD RECREATION DEPT.","1985 BAIRD ROAD","PENFIELD, NY","14526",,,"166002339","STEVE ORSINI","5853408655","CHILDREN'S MUNICIPAL DAY CAMP",140.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"ORSINI@PENFIELD.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{7C8EBDCF-DF6C-4511-8B13-ACB799EF8251}",1311,0
"27-7032b","TOWN OF PERINTON RECREATION CAMP-FELLOWS PARK","499 FELLOWS RD","FAIRPORT, NY 14450",14450.00,14.00,"CHILDREN'S CAMP","Yes","5852235050","PERINTON","TOWN OF PERINTON RECREATION & PARKS","1350 TURK HILL ROAD","FAIRPORT, NY","14450",,,"1666002340","JEFFREY NUTTING","5852235050","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"JNUTTING@PERINTON.ORG",,,,0,"Perinton Aquatics","No",0,"LH",,,0,0,1,"{CC85FC34-3AB8-4463-918A-DFC070CFDA6F}",1122,0
"27-7032c","TOWN OF PERINTON RECREATION CAMP- BROOKS HILL","181 HULBERT RD","FAIRPORT, NY 14450",14450.00,14.00,"CHILDREN'S CAMP","Yes","5852235050","PERINTON","TOWN OF PERINTON RECREATION & PARKS","1350 TURK HILL ROAD","FAIRPORT, NY","14450",,,"1666002340","JEFFREY NUTTING","5852235050","CHILDREN'S MUNICIPAL DAY CAMP",50.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"JNUTTING@PERINTON.ORG",,,,0,"Perinton Aquatics","No",0,"LH",,,0,0,1,"{0A2852CE-4391-444C-9CFC-90286D579A4E}",1122,0
"27-7032d","TOWN OF PERINTON RECREATION CAMP-POTTER PARK","53 WEST CHURCH ST","FAIRPORT, NY 14450",14450.00,14.00,"CHILDREN'S CAMP","Yes","5852235050","PERINTON","TOWN OF PERINTON RECREATION & PARKS","1350 TURK HILL ROAD","FAIRPORT, NY","14450",,,"1666002340","JEFFREY NUTTING","5852235050","CHILDREN'S MUNICIPAL DAY CAMP",60.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"JNUTTING@PERINTON.ORG",,,,0,"Perinton Aquatics","No",0,"LH",,,0,0,1,"{D605FF22-D7CA-4E34-B5CC-135CE4353459}",1122,0
"27-7044","TOWN OF PENFIELD RECREATION CAMP/HARRIS WHALEN PK.","126 Penfield Road","PENFIELD, NY  14526",14526.00,14.00,"CHILDREN'S CAMP","Yes","5853408655","PENFIELD","TOWN OF PENFIELD RECREATION DEPT.","1985 BAIRD ROAD","PENFIELD, NY","14526",,,"166002339","STEVE ORSINI","5853408655","CHILDREN'S MUNICIPAL DAY CAMP",50.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"ORSINI@PENFIELD.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{7BFF49C3-1294-441C-B3B8-035B3C665DCF}",1311,0
"27-7057","TOWN OF PENFIELD RECREATION - COMMUNITY CENTER","1985 BAIRD RD.","PENFIELD, NY  14526",14526.00,14.00,"CHILDREN'S CAMP","Yes","5853408655","PENFIELD","TOWN OF PENFIELD RECREATION DEPT.","1985 BAIRD ROAD","PENFIELD, NY","14526",,,"166002339","STEVE ORSINI","5853408655","CHILDREN'S MUNICIPAL DAY CAMP",135.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"ORSINI@PENFIELD.ORG",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{54A2FE50-24C6-4E0D-BA40-FEB53E69F640}",1330,0
"27-7069","YMCA SOUTHEAST - EYER PARK","100 WILSON AVENUE","EAST ROCHESTER,  NY 14445",14534.00,16.00,"CHILDREN'S CAMP","Yes","5853413259","PITTSFORD","SOUTHEAST FAMILY YMCA","111 E. JEFFERSON ROAD","PITTSFORD, NY","14534",,,"160743242","Dan Hoock",,"CHILDREN'S DAY CAMP",60.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"danh@rochesterymca.org",,,,0,"No swimming","No",0,"ES",,,0,0,184,"{BBE27E78-E977-445F-B770-25CA6D1E1D8B}",1239,0
"27-7071","TOWN OF CHILI - GRADES 3-6","571 PAUL RD","ROCHESTER, NY  14624",14624.00,14.00,"CHILDREN'S CAMP","Yes","5858894680","CHILI","TOWN OF CHILI RECREATION DEPARTMENT","4400 BUFFALO ROAD","N Chili , N Y","14514",,,,"Megan Termine","5858894680","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"MTermine@townofchili.org",,,,0,"No Swimming","No",0,"SV",,,0,0,1,"{44AE07F1-C842-43CB-8FC6-ED65C2FEAB5D}",1245,0
"27-7071a","TOWN OF CHILI - TEEN/NATURE CAMP","3720 UNION STATION","NORTH CHILI, NY  14514",14624.00,14.00,"CHILDREN'S CAMP","Yes","5858894680","CHILI","TOWN OF CHILI RECREATION DEPARTMENT","4400 BUFFALO ROAD","ROCHESTER, N Y","14514",,,,"Megan Termine","5858894680","CHILDREN'S MUNICIPAL DAY CAMP",100.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"MTermine@townofchili.org",,,,0,,"No",0,"SV",,,0,0,1,"{E537431B-15DD-4F5B-9D52-F550278FA60C}",1246,0
"27-7071b","TOWN OF CHILI - GRADES K-2","3560 CHILI AVENUE","ROCHESTER, NY  14624",14624.00,14.00,"CHILDREN'S CAMP","Yes","5858894680","CHILI","TOWN OF CHILI RECREATION DEPARTMENT","4400 BUFFALO ROAD","N Chili , N Y","14514",,,,"Megan Termine","5858894680","CHILDREN'S MUNICIPAL DAY CAMP",60.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"MTermine@townofchili.org",,,,0,"No Swimming","No",0,"SV",,,0,0,,"{87C312A0-2C32-4FB9-99C9-E42E82CD2F22}",,0
"27-7071c","TOWN OF CHILI - SPORTS CAMP","4400 BUFFALO RD","NORTH CHILI, NY 14514",14514.00,14.00,"CHILDREN'S CAMP","Yes","5858894680","CHILI","TOWN OF CHILI RECREATION DEPARTMENT","4400 BUFFALO ROAD","N Chili , N Y","14514",,,,"Megan Termine","5858894680","CHILDREN'S MUNICIPAL DAY CAMP",50.00,,$0.00,,,,0,,,,,,"GR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"MTermine@townofchili.org",,,,0,"No Swimming","No",0,"LH",,,0,0,,"{540EE991-9AB2-4BF1-9F74-F738D34514EB}",,0
"27-709","Town of Brighton Rec/Parks - Pre School Playground","2035 Monroe Avenue","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",18.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{351D5B89-C760-479A-B960-2620C79BD2D2}",1356,0
"27-709a","Town of Brighton Rec/Parks - Council Rock","600 Grosvenor Road","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",40.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{05DE634A-1FB2-48D4-B84B-C5B614A4DBE8}",1311,0
"27-709b","Town of Brighton Rec/Parks - French Road","488 French Road","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",90.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{988C589D-86CC-4E8B-B80F-633FCF2AD349}",1338,0
"27-709c","Town of Brighton Rec/Parks - Brookside Playground","220 Idlewood Road","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",40.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{74E543C5-A80A-480E-BA06-88C92A81ACEB}",1338,0
"27-709d","Town of Brighton Rec/Parks - Brookside Early Bird","220 Idlewood Road","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",20.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{4ABAD017-AC0F-44F3-8EDC-BE7E31667AE8}",1356,0
"27-709f","Town of Brighton Rec/Parks - TCMS Camp","2643 Elmwood Avenue","Rochester",14618.00,,"CHILDREN'S CAMP","Yes","5857845276","Brighton","Town of Brighton Recreation & Parks","220 Idlewood Road","Rochester, NY","14618",,,"16-6002187","Rebecca Cotter","5857845276","CHILDREN'S MUNICIPAL DAY CAMP",45.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"rebecca.cotter@townofbrighton.org",,,,0,"No Swimming","No",0,"LH",,,0,0,1,"{ABC5313F-62E5-42A1-8470-872AAA475DC0}",1312,0
"27-7145","MDA CAMP @ROCHESTER ROTARY","809 FIVE POINTS ROAD","RUSH, NEW YORK  14543",14543.00,,"CHILDREN'S CAMP","Yes","5854246560","RUSH","MUSCULAR DYSTROPHY ASSOCIATION","1425 JEFFERSON - 2nd Floor","ROCHESTER, NY","14623",,,,"RACHEL SANTILLO","5854246560","CHILDREN'S PHYSICALLY HANDICAPPED OVERNIGHT CAMP",70.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rotary",0,"rsantillo@mdausa.org",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"LH",,,0,0,1,"{0956F808-CD0E-4868-B115-6CFAA471E6F1}",1239,0
"27-7158","AMERICAN DIABETES ASSOC - CAMP ASPIRE","809 FIVE POINTS ROAD","RUSH, NEW YORK  14543",14543.00,,"CHILDREN'S CAMP","Yes","5854583040","RUSH","AMERICAN DIABETES ASSOCIATION","160 ALLENS CREEK ROAD","ROCHESTER,NY","14618",,,,"Bob Russell","5854583040","CHILDREN'S OVERNIGHT CAMP",110.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rotary",0,"Rrussell@DIABETES.ORG",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"ES",,,0,0,1,"{5C7576A8-1584-4EE9-9506-EF8F1E4CC31F}",1262,0
"27-7160","CAMP HACCAMO","809 FIVE POINTS ROAD","RUSH, NEW YORK  14543",14543.00,,"CHILDREN'S CAMP","Yes","5854555286","RUSH","HANDICAPPED CHILDREN'S CAMP FOR MONROE COUNTY, INC","P.O. BOX 25177","ROCHESTER, NY","14625",,,,"Dolly Kujawa","5853815710","OVERNIGHT CAMP - DEVELOPMENTALLY DISABLED",110.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"Rotary",0,"dollykujawa@gmail.com",,,,0,"Rotary LM certified Aquatics Director","Yes",0,"WS",,,0,0,185,"{C2CA670E-72F9-45E5-BC46-1D355776FD8D}",1372,0
"27-7172","TOWN OF PITTSFORD - SUMMER FUN SPIEGEL","35 LINCOLN AVE.","PITTSFORD, NY 14534",14534.00,14.00,"CHILDREN'S CAMP","YES","5852486281","PITTSFORD","TOWN OF PITTSFORD","35 LINCOLN AVENUE","PITTSFORD, NY","14534",,,,"Kate Disbrow","5852486281","CHILDREN'S DAY CAMP",100.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"KDisbrow@townofpittsford.org",,,,0,"No swimming","No",0,"ES",,,0,0,1,"{60DC7C1E-F02B-4F64-A43A-B08493B3E858}",1220,0
"27-7172a","TOWN OF PITTSFORD - THORNELL ROAD SCHOOL","431 Thornell Rd","PITTSFORD, NY 14534",14534.00,14.00,"CHILDREN'S CAMP","YES","5852486287","PITTSFORD","TOWN OF PITTSFORD","35 LINCOLN AVENUE","PITTSFORD, NY","14534",,,,"Kate Disbrow","5852486281","CHILDREN'S MUNICIPAL DAY CAMP",170.00,,$0.00,,,,0,,,,,,"JR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"KDisbrow@townofpittsford.org",,,,0,"No Swimming","No",0,"ES",,,0,0,1,"{DE3B0DA2-2C61-462A-965A-48A46A78B691}",1220,0
"27-7196","TOWN OF HENRIETTA - STAR PROGRAM","639 ERIE STATION RD","HENRIETTA, NY 14586",14467.00,,"CHILDREN'S CAMP","Yes","5853597051","HENRIETTA","TOWN OF HENRIETTA","605 CALKINS ROAD","HENRIETTA, NY","14467",,,,"ANITA TICHACEK","5853597051","CHILDREN'S MUNICIPAL DAY CAMP",75.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"atichacek@HENRIETTA.ORG",,,,0,"Henrietta CSD","NO",0,"LH",,,0,0,1,"{604916B6-A7AA-43E1-B1C4-A8D54571B767}",1372,0
"27-7196a","TOWN OF HENRIETTA - SHINE PROGRAM JR/SR","595 CALKINS ROAD (ROBERTS CABIN)","HENRIETTA, NY 14467",14467.00,,"CHILDREN'S CAMP","Yes","5853597051","HENRIETTA","TOWN OF HENRIETTA","605 CALKINS ROAD","HENRIETTA, NY","14467",,,,"ANITA TICHACEK","5853597051","CHILDREN'S TRAVELING DAY CAMP",80.00,,$0.00,,,,0,,,,,,"JG",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"NONE",0,"ATICHACEK@HENRIETTA.ORG",,,,0,"Henrietta CSD","NO",0,"LH",,,0,0,1,"{A73CB82F-2EDA-483F-8C54-E5674423883E}",1372,0
"27-7208","ALLENDALE COLUMBIA- DAY CAMP","519 ALLENS CREEK RD","ROCHESTER, NY 14618",14534.00,,"CHILDREN'S CAMP","Yes","5856415266","PITTSFORD","ALLENDALE COLUMBIA SCHOOL","519 ALLENS CREEK ROAD","ROCHESTER, NY","14618",,,,"MICHAEL TAILLIE","5856415264","CHILDREN'S DAY CAMP",30.00,,$0.00,,,,0,,,,,,"PR",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"MTAILLIE@ALLENDALECOLUMBIA.ORG",,,,0,,"No",0,"WS",,,0,0,1,"{371B11B9-6EEA-4415-902C-65B98531B84D}",1353,0
"27-7234","TOWN OF WEBSTER - GRADES 4 & 5 with 6 & 7 Wrap with K- 3 Wrap CAMP","1350 Chiyoda Drive","WEBSTER, NY 14580",14580.00,14.00,"CHILDREN'S CAMP","YES","5858727100","WEBSTER","TOWN OF WEBSTER PARKS & RECREATION","1350 CHIYODA DRIVE","WEBSTER, NY","14580",,,,"CLARE GUADAGNINO","5858727112","CHILDREN'S MUNICIPAL DAY CAMP",195.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"cguadagnino@ci.webster.ny.us",,,,0,"Webster Aquatic Center","No",0,"ES",,,0,0,1,"{07511349-62DB-4B7D-BB2C-8A6B0DED0BEB}",1262,0
"27-7234A","TOWN OF WEBSTER - GRADES 6-9 TRAVEL CAMP","1350 CHIYODA DRIVE","WEBSTER, NY 14580",14580.00,14.00,"CHILDREN'S CAMP","YES","5858727100","WEBSTER","TOWN OF WEBSTER PARKS & RECREATION","1350 CHIYODA DRIVE","WEBSTER, NY","14580",,,,"CLARE GUADAGNINO","5858727112","CHILDREN'S MUNICIPAL DAY CAMP",200.00,,$0.00,,,,0,,,,,,"ES",,,,,,,,,0,0,0,0,0,0,0,,,0,0,"BYOL",0,"cguadagnino@ci.webster.ny.us",,,,0,"Webster Auatic Center","No",0,"ES",,,0,0,1,"{DBDE69E6-DC32-4B14-BCE4-7AE71A41C14D}",1262,0
