"FAC.","OPERATION ID","FACILITY_NAME","FACILITY_ADDRESS","FAC_CITY","FAC_ZIP","ACTIVE","OPERATOR_OWNER","PHONE","OPER_ADDRESS","OPER_CITY","OPER_ZIP","CONTACT","EMAIL_1","EMAIL_2","FAC_TYPE","FOOD SERVICE DESCRIPTION","FOOD SERVICE ESTAB","CATERED","BUILDING AGE","LEAD PROGRAM REF DATE","LEAD INSP DATE","LEAD INSPECTION RESULTS","LEAD CLEARANCE DATE","COMMENTS","ANNUAL INSP","ANNUAL S/U","INSPECTOR","1ST REINSP","1ST REINSP S/U","PARTIAL INSP","CAPACITY","PROFIT","FEE","FEE CODE","COMPLAINT_DATE","DATE_ABATED","SERVICE","DATE_TO_BUS","INVOICE DATE","INVOICE .","MCHDNUMBER","OP_KEY","CAT","SUBCAT","STATUS","PHONENO","PRIMARYOP","Customer acct no","2ND REINSP","2ND REINSP S/U","3RD REINSP","3RD REINSP S/U","FOOD PLAN RECEIPT DATE","FOOD PLAN APPROVAL DATE","FOOD PLAN CORRECTIVE ACTIONS","INSPECTOR CONTACT","2ND ANNUAL INSP","2ND ANNUAL S/U","PRE OP INSPECTION","PRE OP S/U","PART 14-1 PERMIT","s_GUID","ACTIVATION DATE","DEACTIVATION DATE","OPERATOR PHONE","TimeUpdated","Gen_COMMENTS","Gen_FOOD PLAN CORRECTIVE ACTIONS","Gen_FOOD SERVICE DESCRIPTION","s_ColLineage","s_Generation","s_Lineage"
"27DCC71","909723","THE JCC @WOLK CHIDREN'S CENTER","1200 EDGEWOOD AVE","ROCHESTER, NY","14618","Yes","JEWISH COMMUNITY CENTER","461-2000","1200 EDGEWOOD AVENUE","ROCHESTER, NEW YORK","14618","SANDY SHAPIRO","jshellman@jccrochester.org","tashline@jccrochester.org","DAY CARE CENTER","BYOL.","LOW","No","PRE-1978",,1994-04-14 0:00:00,"NO PB HAZARDS",,"Lead inspection report identified a surface with a reading of 1.0.

Fresh fruit and vegs. Purchased pre washed from the vendor.  Single service plates, bowls, spoons,….PR",2017-04-17 0:00:00,"S","jg",2015-08-25 0:00:00,"U",,209.00,0,$165.00,"DCC10",,,,2014-04-16 0:00:00,,,71,0,,,,,,,,,,,,,,,,,,,,"{47282745-5639-45FA-9299-4180E2EA9961}",,,,,1718,1527,1527,,1718,
"27DCC73",,"KIDDIE KOLLEGE - 2348 LYELL","2348 LYELL AVE.","ROCHESTER, NY","14606","No","TERRI SMITH","429-5070","2348 LYELL AVENUE","ROCHESTER, NEW YORK","14606","TERRI SMITH",,,"DAY CARE CENTER","Breakfast- Cereal w/milk,fruit,english muffin
Lunch- Tuna melt, sloppy joes,scrambled eggs, french toast, spaghetti,ham w/scalloped potatoes,pb&j,chicken,noodles,mashed potatoes, beefy mountain,homemade mac &cheese, soft meat taco,english muffin cheese pizzas, pork loin, broccoli,rice, cheese casserole, turkey lasagna, baked chicken and biscuit, goulash, chicken perm, meatloaf,pancakes,grilled cheese
snacks- saltines, pretzles, animal crackers,oranges,vanilla yogurt, vanilla wafers, graham crackers, wheat crackers","HIGH",,,,,,,,,,"PR",,,2011-08-03 0:00:00,44.00,1,$130.00,"DCC2",,,,,,,73,0,,,,,,,,,,,,,,,,,,,,"{7BC767A2-00F2-491D-8100-18B4814B5982}",,,,,1527,1527,1527,,1527,
"27DCC75","908720","INSPIRE LEARNING & CHILDCARE- BUFFALO RD.","4479 BUFFALO ROAD","N. CHILI, NY","14514","Yes","D'AGOSTINO LEARNING GROUP LLC","594-3033","101 SULLYS TRAIL, BLDG 30","PITTSFORD, NY","14534","TAMI MASCADRI","lisas@inspirechildcare.com","kristine@inspirechildcare.com","DAY CARE CENTER","Breakfast- Cereal w/milk,fruit,english muffin
Lunch- Tuna melt, sloppy joes,scrambled eggs, french toast, spaghetti,ham w/scalloped potatoes,pb&j,chicken,noodles,mashed potatoes, beefy mountain,homemade mac &cheese, soft meat taco,english muffin cheese pizzas, pork loin, broccoli,rice, cheese casserole, turkey lasagna, baked chicken and biscuit, goulash, chicken perm, meatloaf,pancakes,grilled cheese
snacks- saltines, pretzles, animal crackers,oranges,vanilla yogurt, vanilla wafers, graham crackers, wheat crackers","MEDIUM","Yes","PRE-1978",,,,,"Discussed sink options with Tami Mascardi.  I told her that a 3 bay sink with additional sinks for hand wash and fruit/veg  wash are needed  but we would allow  a 3 bay sink with a separate hand wash sink and the sanitizing sink could be used for a separate fruit /vegetable was sink.  Both options require an indirect drain on the vegetable/fruit wash sink.  Tami will take the information to the owner and the  owner  will decide which option to choose. ES",2017-09-11 0:00:00,"S","jg",2016-12-09 0:00:00,"S",,44.00,1,$130.00,"DCC2",,,,2013-04-02 0:00:00,,,75,0,,,,,,,2015-01-20 0:00:00,"S",,,,,,,2015-12-15 0:00:00,"U",,,,"{9D721981-E8CF-41F3-A71F-8701E2B8C8FB}",,,,,0,1527,1527,,0,
"27DCC76",,"INSPIRE LEARNING AND CHILD CARE - DEWEY","4631 DEWEY AVENUE","ROCHESTER, NY","14612","No","SUSAN CHAPIN","621-4601","4631 DEWEY AVENUE","ROCHESTER, NEW YORK","14612","KELLY GOERGER",,,"DAY CARE CENTER","Breakfast- Cereal w/milk,fruit,english muffin
Lunch- Tuna melt, sloppy joes,scrambled eggs, french toast, spaghetti,ham w/scalloped potatoes,pb&j,chicken,noodles,mashed potatoes, beefy mountain,homemade mac &cheese, soft meat taco,english muffin cheese pizzas, pork loin, broccoli,rice, cheese casserole, turkey lasagna, baked chicken and biscuit, goulash, chicken perm, meatloaf,pancakes,grilled cheese
snacks- saltines, pretzles, animal crackers,oranges,vanilla yogurt, vanilla wafers, graham crackers, wheat crackers","MEDIUM",,"PRE-1978",,,,,"Out of Business.PR


2/19/13- Four blue violations still exist, but the stem thermometer has been provided at the first reinspection. GR


2/7/13-  Accurate stem thermometer not available at the time of the inspection. Operator requests a variance for the separate fruit/vegetable prep sink. An indirect drain must be installed on the sink on the ""west wall"". GR

2/7/13- Lunches are catered to this facility from the ""Kiddie College"" in Irondequoit, therefore, a ""Medium risk"" designation should be given to this facility.GR",2013-02-07 0:00:00,"U","GR",2013-02-19 0:00:00,"U",2012-06-27 0:00:00,41.00,1,$130.00,"DCC2",,,,2013-04-02 0:00:00,,,76,0,,,,,,,,,,,,,,,,,,,,"{47FCF73A-30F7-45BE-9993-93810D7C3312}",,,,,1527,1527,1527,,1527,
"27DCC77","908771","INSPIRE LEARNING AND CHILDCARE/PATTONWOOD","330 PATTONWOOD DR.","ROCHESTER, NY","14617","Yes","D'AGOSTINO LEARNING GROUP LLC","637-3320


467-6050","101 SULLEYS TRAIL","PITTSFORD, NEW YORK","14534","JACKIE QUICK","marsha@inspirechildcare.com","","DAY CARE CENTER","Sarkis catering for lunch.  Breakfast made on-site - cereal, toast, milk juice.  Snack - Fresh whoel cut up fruit.","MEDIUM","Yes","PRE-1978",,,,,"Child Care's previous name was Kiddie Kollege.  3 bay sink was present along with an additional hand wash sink.  The 3rd bay of the sink will be used for the vegetable/fruit wash sink.  An indirect drain will be added to the sink.  This sink will be used  with a collander to wash the fruit and vegetables. A commercial dishwasher is also present.  3rd sink now has an indirect drain.  ES

Daycare will have lunches catered.  Breakfast will be toast and cereal.  Snacks will also be provided. ES

6/30/2015 - Lunch is now catered from Sarkis.  Risk changed to Medium.  Breakfast is primarily cereal. Snack is fresh cut up fruit.  Dishwasher doesn't work and not used. LH",2017-11-02 0:00:00,"S","EC",2015-07-20 0:00:00,"U",,80.00,1,$175.00,"DCC3",,,,2013-04-02 0:00:00,,,77,0,,,,,,,,,2015-08-25 0:00:00,"U",,," 3 bay sink was present along with an additional hand wash sink.  The 3rd bay of the sink will be used for the vegetable/fruit wash sink.  An indirect drain will be added to the sink.  This sink will be used  with a collander to wash the fruit and vegetables. A commercial dishwasher is also present.  3rd sink now has an indirect drain.  ES",,2014-11-25 0:00:00,"S",,,,"{B8ADC97C-F258-46C8-9FE5-C959FE174283}",,,,,0,1527,1527,,0,
"27DCC79","909090","PARTNERS IN COMMUNITY DEVELOPMENT/FAIRPORT","1 WHITE PINE CIRCLE","FAIRPORT, NY","14450","Yes","PARTNERS IN COMMUNITY","678-4080","45 MAXSON STREET","ROCHESTER, NEW YORK","14609","LEN STATHAM","picd_len@yahoo.com","picd_krista@yahoo.com","DAY CARE CENTER","8/11/2015 - Kristin, Asst director stated they make breakfast, lunch and snack only during summer.  Use commercially processed foods.  During school year breakfast and snack only.","MEDIUM","No",,,,,,"One of the red violations was corrected at the time of the inspection.  The director is going to contact the owner of the facility and decide how many sinks will be installed. Two sinks are now present and 2 more sinks will be added and one of the sinks added will be both a sanitizer sink and a vegetable wash sink with an indirect drain. ES

7/12/2013 2 additional sinks were installed but there were no indirect drains installed. ES

8/21/2013 Indirect drain was attache to one of the sinks.  All of the violations have been completed. ES",2017-08-22 0:00:00,"S","EC",2016-11-30 0:00:00,"U",,25.00,0,$45.00,"DCC6",,,,2014-04-16 0:00:00,,,79,0,,,,,,,,,,,,,,,,,,,,"{9C7626A8-D9C5-44E6-827A-35760349A296}",,,,,0,1527,1527,,0,
"27DCC80","908818","KIDS FIRST CHILD CARE-EMPIRE","1676 EMPIRE BLVD.","WEBSTER, NY","14580","Yes","KIDS FIRST CHILD CARE, INC.","671-3940","1676 EMPIRE BOULEVARD","WEBSTER, NEW YORK","14580","DIANA SINGER","dianasinger2000@gmail.com","kidsfirstwebster@gmail.com","DAY CARE CENTER","L-minestrone soup, tuna sand., mac, and cheese, meatballs w/ pasta, chixnuggets, tater tots, french toast, meatloaf, mashed potatoes, sloppy joe, waffle, breakfast sausage, turkey sand., fish nuggets, ham and cheese, ravioli w/ sauce, bacon egg and cheese hot pocket, hamburger, mashed potatoes,  cheese filled bread sticks, BBQ pork w/ roll, veg, fruit, milk.
2/13/2015 - No cooling or reheating.  Risk chaged to Medium. LH","MEDIUM","No",,,,,,"2/5/13- Operator requests a variance for the separate fruit/vegetable prep sink. An indirect drain will be required on the htird bay of the three bay sink. GR",2017-10-17 0:00:00,"S","EC",2015-03-13 0:00:00,"U",,144.00,1,$250.00,"DCC4",,,,2014-02-21 0:00:00,,,80,0,,,,,,,2013-05-23 0:00:00,"S",,,,,,,2015-12-29 0:00:00,"S",,,,"{68E16DF7-3A0C-4DFA-801D-3163513CA2EC}",,,,,0,1527,1667,,0,
"27dcc999",,"Cherie's Banda Kids","111 Westfall Road","Rochester","14620",,"Cherie Wright-Banda",,,,,,"cheriewright-banda@monroecounty.gov",,"DAY CARE CENTER",,,,,,,,,,2015-11-02 0:00:00,"S",,,,,,0,,,,,,,,,1445975992,,,,,,,,,,,,,,,,,,,,,"{09E0A3B5-DDA5-436A-B452-BBFE232E0680}",,,,2015-10-27 15:59:52,1592,1592,1592,,1605,
"27DCC308","911812","EXPRESSIVE BEGINNINGS @ TODDLER'S WORKSHOP","12 MAY STREET","WEBSTER, NY","14580","Yes","HERITAGE CHRISTIAN SERVICES CHILD CARE LLC","(585) 872-0663","275 KENNETH DR., SUITE 100","ROCHESTER, NY","14623","KELLY GIUDICE",,,"DAY CARE CENTER","Breakfast, Lunch and snack.  Meals made from raw incredients, cooked and served.","MEDIUM","No",,,,,,"11/10/2015 - Heritage is purchasing ""Toddler's Workshop"".  Facility will not close just change owners in Dec 2015. Approved indirect on 3rd sanitizing basin LH",2018-01-18 0:00:00,"S","jg",2017-02-03 0:00:00,"S",,149.00,1,$250.00,"DCC4",,,,,,,1447173461,,,,,,,,,,,,2015-11-09 0:00:00,2015-11-10 0:00:00,"NONE","Lee Houston, 753-5571",,,2015-12-02 0:00:00,"U",,"{C283B809-3592-478C-B9AC-0F48E8F20E8A}",2015-12-22 0:00:00,,"(585) 872-0663",2015-11-10 11:37:41,0,1627,1627,,0,
"27DCC309","911813","EXPRESSIVE BEGINNINGS @ RAILROAD JUNCTION","10 MAY STREET","WEBSTER, NY","14580","Yes","HERITAGE CHRISTIAN SERVICES CHILD CARE LLC","(585) 872-0663","275 KENNETH DR, SUITE 100","ROCHESTER, NY","14623","KELLY GIUDICE",,,"DAY CARE CENTER","Breakfast and snack during school year. Lunch prepared in summer. Cook and serve.","MEDIUM","No","PRE-1978",,,,,"11/10/2015 - Heritage is purchasing ""Railroad Junction"".  Facility will not close just change owners in Dec 2015. Approved indirect on 3rd sanitizing basin LH",2018-01-18 0:00:00,"S","jg",2017-02-03 0:00:00,"S",,156.00,1,$330.00,"DCC5",,,,,,,-63339022,,,,,,,,,,,,2015-11-09 0:00:00,2015-11-10 0:00:00,"NONE","Lee Houston, 753-5571",,,2015-12-02 0:00:00,"U",,"{4F0CD96A-D25D-4418-A6B3-3D2DAAAF4BF5}",2015-12-22 0:00:00,,"(585) 872-0663",2015-11-10 11:37:41,0,1627,1627,,0,
"27DCC310","911817","ABC @ WILSON COMMENCEMENT","251 JOSEPH AVENUE","ROCHESTER, NY","14605","Yes","ACTION FOR A BETTER COMMUNITY, INC","(585) 325-5516","550 E. MAIN STREET","ROCHESTER, NY","14604","DEBBIE AJEWOLE/WILLIAM PORTER",,,"DAY CARE CENTER","Sarkis catering","MEDIUM","Yes",,,,,,"11/18/2015 - ABC plans on opening new daycare in early January 2016.  Food prep sink and hand sink to be installed prior to Food Plan submitted and pre-op.  LH",2017-03-16 0:00:00,"S","jg",2016-02-25 0:00:00,"S",,140.00,0,$250.00,"DCC4",,,,,,,1447860336,,,,,,,,,,,,2015-11-18 0:00:00,2015-11-18 0:00:00,"NONE","Lee Houston, 753-5571",,,2015-12-21 0:00:00,"U",,"{01E48A25-E5EB-4DBA-BC40-616E636B5FEC}",2016-01-04 0:00:00,,"(585) 325-5116",2015-11-18 10:25:36,1719,1636,1656,,1719,
"27DCC82","908189","CCLC @ ROCHESTER GENERAL HOSPITAL","770 CARTER ST.","ROCHESTER, NY","14621","No","KINDER KARE, INC.","467-5490","770 CARTER STREET","ROCHESTER, NEW YORK","14621","Marie Baker","mabaker@cclc.com","jmurawski@cclc.com","DAY CARE CENTER","11/13/2015 - Food is mostly commercially processed and cooked and served.  No cooling or reheating.  Risk chaged to Medium. LH","MEDIUM","No","PRE-1978",,,,,"1/23/13 - Stem thermometer has been provided. All other violations have been cleared. GR
3/18/2015 - TC from new director Angela Colt.  Database updated.  Just wanted to know when last inspection was. LH
9/22/2016 - Field Visit. Facility is out of business. LH",2015-04-16 0:00:00,"U","LH",2015-04-30 0:00:00,"U",,108.00,1,$250.00,"DCC4",,,,2013-04-02 0:00:00,,,82,0,,,,,,,,,,,,,,,2015-11-13 0:00:00,"U",,,,"{C20CB36F-66A0-4D30-85B4-EBE5E7E57923}",,2016-09-22 0:00:00,,,1719,1527,1636,,1719,
"27DCC202","909604","WEBSTER MONTESSORI SCHOOL","1310 FIVE MILE LINE RD.","WEBSTER, NY","14580","Yes","WEBSTER MONTESSORI SCHOOL","347-0055","1310 FIVE MILE LINE ROAD","WEBSTER, NEW YORK","14580","GARY GOODWIN","principal@webstermontessori.org",,"DAY CARE CENTER","Bring your own lunch/snack","LOW","No","PRE-1978",,,,,"No lead info. In DCC file

4/22/2016 - TC to Theresa Chylinski, facility went to full day care. Have capacity to 20.  Private Montessori schools are not exempt.",2017-10-24 0:00:00,"S","EC",,,,5.00,0,$45.00,"DCC6",,,,2014-04-16 0:00:00,,,2310376,,,,,,,,,,,,,,,,,,,,,"{E6FAD269-A7F9-4169-9C96-6F253434D776}",,,,,0,1527,1527,,0,
"27DCC203",,"CHARLES SETTLEMENT HOUSE","431 JAY ST.","ROCHESTER, NY","14611","No","CHARLES SETTLEMENT JOUSE","328-5453","431 JAY STREET","ROCHESTER, NEW YORK","14611","ZETTA DENNO",,,"DAY CARE CENTER","Foodlink","MEDIUM","Yes","PRE-1978",,,,,"No lead info. In the DCC file

2/12/2013 - Out of business. PR",2012-07-03 0:00:00,"S","GR",,,,35.00,0,$65.00,"DCC7",,,,2012-07-11 0:00:00,,,2310377,,,,,,,,,,,,,,,,,,,,,"{A1503D33-BA61-45AB-B621-818B45B09F0D}",,,,,1527,1527,1527,,1527,
"27DCC204",,"BUBBLES DAY CARE","426 LYELL AVE.","ROCHESTER, NY","14608","No","VICTORY OUTREACH MINISTRIES","254-6820","426 LYELL AVENUE","ROCHESTER, NEW YORK","14606","GWENNETTE DAVIS-JONES","naquettadavis@gmail.com",,"DAY CARE CENTER","Breakfast - Bagel, fruit, oatmeal, milk,pancakes, french toast, cheerios, yogurt, english muffins, scrambled eggs
Lunch - egg salad sandwich, oven fried chicken, meatloaf, tuna casserole, cheeseburger, peanut butter sandwich, pizza, chicken fingers, mac and cheese, hot dog,grilled cheese, sloppy joes, mashed potatoes, spaghetti, ham & cheese sandwich, vegetables, fruit, milk
Snack - crackers, juice, homemade peanut butter cookies, fruit, yogurt, english muffins.","HIGH","No","PRE-1978",,,,,"No lead letter in the DCC file.
Operator requests a variance for the fruit/vegetable prep sink. An indirect drain will be required on the third bay of the three bay sink. GR
1/30/13- Stem thermometer available during my re-inspection. GR
1/29/2015 - OCFS Revocs license. LH",2014-04-24 0:00:00,"U","ES",2014-11-14 0:00:00,"S",,93.00,1,$175.00,"DCC3",,,,2014-06-02 0:00:00,,,2310378,,,,,,,,2014-05-22 0:00:00,"S",2013-05-22 0:00:00,"S",,,,,2014-10-21 0:00:00,"U",,,,"{3413F4AA-178C-451C-867B-42C386948607}",,2015-01-29 0:00:00,,,1527,1527,1527,,1527,
"27DCC205","908125","BATES-RICH BEGINNINGS CHILD CARE/WHITNEY RD.","1683 WHITNEY RD.","FAIRPORT, NY","14450","Yes","BATES-RICH BEGINNINGS CHILD CAR","223-5510","1 HAMILTON RD.","FAIRPORT, NEW YORK","14450","ART & LAURA BATES","bates@batesrichchildcare.com",,"DAY CARE CENTER","Fresh fruits/vegetables cut onsite, bakes cakes and breads, cereal, yogurt, cheese/crackers.","LOW","No",,,,,,"9/15/2015 - Facility uses reusable dishware and single service items and also bakes on-site, cuts up fresh fruits and vegetables.  Facility has residential dishwasher and 2 bay sink.  Was previously washing fruits/veg in building next door owned by same daycare operator.   Facility is required to install 1 more basin to wash, rinse, sanitize all resusable dishes.  Sanitizing basin will be converted to Food Prep sink with indirect drain. Hand sink is available in near by bathroom.  Owner onsite during inspection and is agreeable to all code required plumbing modifications.  LH",2017-10-30 0:00:00,"S","EC",2015-11-16 0:00:00,"S",,30.00,1,$90.00,"DCC1",,,,2014-04-16 0:00:00,,,2310379,0,,,,,,,,,,,,,,,,,,,,"{4BDC013F-1D95-4EA6-90F7-11AA3F4C656C}",,,,,0,1527,1527,,0,
"27DCC206",,"TLC ADVENTURES IN DAY CARE","1192 MANITOU RD.","HILTON, NY","14468","No","THERESA CROCE","392-9255","1192 MANITOU ROAD","HILTON, NEW YORK","14468","THERESA CROCE",,,"DAY CARE CENTER","All foods served to children are purchased as ""prepared foods"" from a wholesale provider (Usually Renzi Foods or BJ's Wholesale Club). All foods are ""ready-to-serve"" or combined with other prepared foods.
Breakfast - Cereal, fruit, milk, sausage links, scrambled eggs, bagels
Lunch- BBQ chicken breast, Ham & Cheese corn muffins, veggie pizza, Minestrone soup, Sweet and Sour Pork w/broccoli
PM snack- Granola bars, Nilla wafers, fruit, cheese sticks, juice","HIGH","No","POST-1978",,,,,"Out of Business.PR


3/11/13- Light shield provided for the overhead lights in the kitchen. No violations at the time of the reinspection. GR


No lead info. In DCC file
1/23/2013 - TC from Michelle Smith, Executive Director.  She confirmed facility has a dish washer. New day care Building will be ready in August yet they won't move until around end of November.  I advised her after consulting with PR we agreed to the exemption to installing  3rd bay for the sink.   Also explained plan review for new facility and need for veg prep sink, hand washing and 3 bay.   She'll have her architect include all  3 sinks on plans for our review.   Plan review packet as well as general day care packet will be sent to her. LH
1/31/13- See above notes. Vegetable prep sink and three bay sink will not be required as this facility will be closing this year. New facility will open around 11/1/13. GR",2013-01-31 0:00:00,"U","GR",2013-03-11 0:00:00,"S",,73.00,1,$175.00,"DCC3",,,,2013-04-02 0:00:00,,,2310380,,,,,,,,,,,,,,,,,,,,,"{E16CA921-AFAB-4656-A0E5-D6DA91A0D737}",,,,,1527,1527,1527,,1527,
"27DCC207","909099","PRIDE AND JOY DAY CARE","55 FINN RD.","HENRIETTA, NY","14467","Yes","GINA LANG","321-1151","55 FINN ROAD","HENRIETTA, NEW YORK","14467","GINA LANG","pridenjoy55@yahoo.com",,"DAY CARE CENTER","Catered by Sysco
Pre-packaged food, pre-cooked foods heated in oven
1/16/14 Food now prepared on-site.PR

12/3/2015 Director Lisa Lane said that they buy all of their food from Sysco and all of the food is precooked and discarded after serving.  No cooling/reheating is done.  Risk will be changed from High to Medium.  Director said that they use only canned fruits and vegetables.  I discussed with the the Director the possibility of installing an indirect drain onto the sanitizing sink. ES","MEDIUM","No","POST-1978",,,,,,2018-01-19 0:00:00,"S","EC",2016-08-26 0:00:00,"S",,106.00,1,$250.00,"DCC4",,,,2014-02-21 0:00:00,,,2310381,,,,,,,,,,,,,,,,2015-12-03 0:00:00,"U",,,,"{55298A56-1ECF-4DD0-9B7C-5571E5E6971C}",,,,,0,1528,1657,,0,
"27DCC228",,"NEW BORN FELLOWSHIP CHILDCARE","2772 EAST HENRIETTA RD.","HENRIETTA NY","14467","No","PERDITA MEEKS","334-3244","2772 EAST HENRIETTA ROAD","HENRIETTA, NEW YORK","14467","KAREEM HAYES",,,"DAY CARE CENTER",,,,,,,,,,,,,,,,40.00,1,$130.00,"DCC2",,,,,,,2310401,,,,,,,,,,,,,,,,,,,,,"{F68BE985-E0F0-4E76-AB69-1AFF4F556273}",,,,,1528,1528,1528,,1528,
"27DCC208",,"MAPLEWOOD YMCA AFTER SCHOOL/SCHOFIELD DR.","121 SCHOFIELD DR.","ROCHESTER, NY","14617","No","MAPLEWOOD YMCA","647-3600","25 DRIVING PARK","ROCHESTER, NEW YORK","14613","WILLIAM NUNEZ",,,"DAY CARE CENTER",,"LOW",,,,,,,,,,,,,,11.00,0,$45.00,"DCC6",,,,,,,2310382,0,,,,,,,,,,,,,,,,,,,,"{F1976124-30E1-4A94-94E2-E5DE543C3CA1}",,,,,1528,1528,1528,,1528,
"27DCC209","908547","HEADSTART/HART ST.","30 HART ST.","ROCHESTER, NY","14605","Yes","ABC HEADSTART","254-0093","30 HART STREET","ROCHESTER, NEW YORK","14605","SHARON MINIGAN","mberhan@abcinfo.org",,"DAY CARE CENTER","Catering by Sarkis.","MEDIUM","Yes","PRE-1978",,2009-02-19 0:00:00,"PB HAZARDS",2009-05-21 0:00:00,"Facility has a 3 bay sink and separate sinks for hand washing and vegetable washing.  The vegetable wash sink has an indirect drain. ES
All violations have been corrected. ES 3/1/2013


Dishwasher was broken but a new one is being installed in the next week.",2018-01-24 0:00:00,"S","EC",2013-03-01 0:00:00,"S",2011-01-27 0:00:00,331.00,0,$165.00,"DCC10",,,,2014-02-21 0:00:00,,,2310383,,,,,,,,,,,,,,,,,,,,,"{81FDA081-1D84-4312-8112-017D82886C7F}",,,,,0,1528,1528,,0,
"27DCC166",,"BUBBLES DAY CARE - JAY ST.","635 JAY ST.","ROCHESTER, NY","14611","No","WAUNETA LADNER","328-2816","635 JAY STREET","ROCHESTER, NEW YORK","14611",,,,"DAY CARE CENTER",,,,,,,,,,,,,,,,65.00,1,$175.00,"DCC3",,,,,,,166,0,,,,,,,,,,,,,,,,,,,,"{3213B4DB-975F-4FA4-ADB1-BEA771DA9126}",,,,,1528,1528,1528,,1528,
"27DCC39",,"CRAYON CAMPUS","101 SULLYS TRAIL","PITTSFORD, NY","14534","No","CRAYON CAMPUS, INC.","381-4780","101 SULLYS TRAIL - BLDG. 30","PITTSFORD, NEW YORK","14534","Amy McCall","amym@icrayoncampus.com",,"DAY CARE CENTER","L-chix nuggets, tuna noodle casserole, bar-b-q chix, cheesy ham and rice, french toast, fish patty on a bun, baked ziti, grilled cheese, soup, milk, fruit, veg, salad.
S-cinn. Bread w/ butter, yogurt, apple bar, raisins, triscuits, cheez its, pretzel, rice cake, goldfish cracker, milk, water.","HIGH",,"POST-1978",,1994-03-11 0:00:00,"NO PB HAZARDS",,"9/25/2013 - TC from Beth Wanzer, OCFS.  Daycare will be operated by a new owner on 10/1/2013.  Advised of need to conduct a FSE for new owner.  Daycare name will remain the same as will capacity and food service. LH",2013-01-29 0:00:00,"S","GR",,,2012-06-08 0:00:00,164.00,1,$330.00,"DCC5",,,,2013-11-27 0:00:00,,,39,0,,,,,,,,,,,,,,,,,,,,"{D48259A6-1FB3-486C-B8BE-C7B4254F63FF}",,,,,1528,1528,1528,,0,
"27DCC40",,"CREATIVE ARTS CENTER","3750 MONROE AVENUE","PITTSFORD, NY","14534","No","CREATIVE ARTS CENTER","385-4140","3750 MONROE AVENUE","PITTSFORD, NEW YORK","14534","JILL CYPHER",,,"DAY CARE CENTER","BYOL.","LOW","No","PRE-1978",,,,,"Out of Business.


No lead inspection in DCC file.",2013-02-19 0:00:00,"S","PR",,,,44.00,1,$130.00,"DCC2",,,,2013-01-07 0:00:00,,,40,0,,,,,,,,,,,,,,,,,,,,"{42277C05-62CC-4FFD-B76C-E90DF81FC7DB}",,,,,1528,1528,1528,,1528,
"27DCC41",,"CREATIVE BEGINNINGS CHILDCARE","2732 CULVER RD.","ROCHESTER, NY","14622","No","MARY LOUISE MCCLELLAND","581-1785","2732 CULVER ROAD","ROCHESTER, NEW YORK","14622","Jennifer Franco","cbeginnings@gmail.com","jfranco_cbcc@hotmail.com","DAY CARE CENTER","Breakfast- Milk, fruit,cereal, waffles/pancakes, toast, blueberry bars, instant oatmeal
AM snack- Milk, juice,fruit, yogurt, animal crackers, granola
PM snack- Pretzles, cheese cubes, peanut butter cookie or bar, crackers, oatmeal squares, quesadilla squares
Lunch- Salad, milk, fruit,bread, Roast Pork Tenderloin, Hot dog, Pizza, Macaroni/sauce, Fish Sticks,Egg salad sand., Rice, chicken soup, mac & cheese, PBJ sand., Baked chicken strips, Beef goulash, grilled cheese, tuna salad, turkey tetrazini, beans and ground beef,","HIGH","No","PRE-1978",,,,,"No lead info. In the DCC file.
Variance granted for veg. prep sink.  Facility will use 3 rd bay of 3 bay sink with indirect drain and collander.
1/23/13 - All violations have been cleared at the time of the re-inspection. GR

11/25/2014 Daycare has closed and moved to 2881 Culver Rd. ES",2014-09-25 0:00:00,"S","ES",2013-01-23 0:00:00,"S",,119.00,0,$125.00,"DCC9",,,,2013-04-02 0:00:00,,,41,0,,,,,,,,,,,,,,,2013-10-18 0:00:00,"S",,,,"{190D8FCD-CF0B-41F8-B0D5-7C591B70356D}",,2014-11-01 0:00:00,,,1528,1528,1528,,1528,
